home,away,ft
Portland Timbers,Seattle Sounders,"[1, 2]"
Orlando City SC,Inter Miami,"[0, 0]"
Philadelphia Union,New York City FC,"[1, 2]"
CF Montreal,Columbus Crew,"[1, 3]"
DC United,New York Red Bulls,"[1, 4]"
FC Cincinnati,Atlanta United FC,"[1, 0]"
Chicago Fire,Charlotte,"[0, 1]"
Minnesota United FC,Los Angeles Galaxy,"[2, 2]"
Nashville SC,Toronto FC,"[2, 0]"
Austin,Houston Dynamo,"[1, 0]"
St. Louis City,Los Angeles FC,"[0, 2]"
Real Salt Lake,Seattle Sounders,"[2, 0]"
Colorado Rapids,Vancouver Whitecaps,"[1, 0]"
Portland Timbers,San Jose Earthquakes,"[4, 2]"
Nashville SC,Atlanta United FC,"[1, 1]"
Toronto FC,CF Montreal,"[5, 1]"
New York City FC,New York Red Bulls,"[2, 1]"
New England Revolution,Philadelphia Union,"[0, 3]"
FC Cincinnati,St. Louis City,"[3, 1]"
Inter Miami,DC United,"[1, 0]"
Charlotte,Los Angeles Galaxy,"[0, 0]"
Houston Dynamo,FC Dallas,"[1, 1]"
Chicago Fire,Columbus Crew,"[1, 3]"
Minnesota United FC,Portland Timbers,"[2, 1]"
Austin,Sporting Kansas City,"[3, 2]"
Real Salt Lake,Colorado Rapids,"[5, 3]"
Seattle Sounders,Vancouver Whitecaps,"[1, 1]"
San Jose Earthquakes,Orlando City SC,"[0, 1]"
Orlando City SC,Columbus Crew,"[0, 2]"
Toronto FC,FC Cincinnati,"[3, 4]"
Atlanta United FC,Los Angeles FC,"[0, 1]"
New England Revolution,New York City FC,"[0, 1]"
CF Montreal,Nashville SC,"[0, 0]"
DC United,Chicago Fire,"[1, 1]"
Charlotte,Philadelphia Union,"[0, 0]"
FC Dallas,Real Salt Lake,"[3, 3]"
St. Louis City,Seattle Sounders,"[1, 2]"
Colorado Rapids,Minnesota United FC,"[3, 3]"
San Jose Earthquakes,Austin,"[1, 1]"
Vancouver Whitecaps,Inter Miami,"[1, 2]"
Los Angeles Galaxy,Houston Dynamo,"[2, 1]"
Portland Timbers,Sporting Kansas City,"[2, 1]"
Philadelphia Union,Toronto FC,"[0, 0]"
New York Red Bulls,Charlotte,"[3, 1]"
CF Montreal,DC United,"[4, 2]"
FC Cincinnati,Nashville SC,"[0, 2]"
Inter Miami,Atlanta United FC,"[1, 3]"
Houston Dynamo,Colorado Rapids,"[3, 1]"
Chicago Fire,Orlando City SC,"[1, 1]"
Sporting Kansas City,Vancouver Whitecaps,"[1, 2]"
Austin,Portland Timbers,"[0, 2]"
Seattle Sounders,Real Salt Lake,"[1, 1]"
Los Angeles Galaxy,FC Dallas,"[3, 1]"
Los Angeles FC,Minnesota United FC,"[2, 0]"
New York City FC,San Jose Earthquakes,"[5, 1]"
Philadelphia Union,CF Montreal,"[2, 2]"
New York Red Bulls,Orlando City SC,"[1, 0]"
DC United,Toronto FC,"[2, 2]"
Inter Miami,St. Louis City,"[3, 3]"
Chicago Fire,Los Angeles Galaxy,"[2, 1]"
Minnesota United FC,Sporting Kansas City,"[3, 1]"
Nashville SC,New England Revolution,"[1, 2]"
Real Salt Lake,Austin,"[5, 1]"
Vancouver Whitecaps,Colorado Rapids,"[2, 1]"
Los Angeles FC,FC Dallas,"[1, 0]"
Portland Timbers,Houston Dynamo,"[2, 2]"
Atlanta United FC,Charlotte,"[2, 3]"
New England Revolution,New York Red Bulls,"[1, 0]"
Sporting Kansas City,Seattle Sounders,"[2, 1]"
Minnesota United FC,FC Dallas,"[1, 1]"
St. Louis City,Portland Timbers,"[0, 0]"
New York City FC,Columbus Crew,"[2, 3]"
Orlando City SC,Los Angeles FC,"[1, 3]"
Philadelphia Union,Inter Miami,"[1, 2]"
Toronto FC,Chicago Fire,"[1, 4]"
New York Red Bulls,Nashville SC,"[0, 0]"
Atlanta United FC,Houston Dynamo,"[2, 2]"
New England Revolution,Vancouver Whitecaps,"[3, 2]"
CF Montreal,Real Salt Lake,"[0, 0]"
Charlotte,DC United,"[1, 0]"
FC Dallas,St. Louis City,"[2, 0]"
Colorado Rapids,Austin,"[2, 0]"
Seattle Sounders,Minnesota United FC,"[2, 0]"
San Jose Earthquakes,FC Cincinnati,"[2, 4]"
Los Angeles Galaxy,Sporting Kansas City,"[4, 2]"
Toronto FC,Nashville SC,"[1, 2]"
CF Montreal,New York Red Bulls,"[2, 2]"
DC United,Atlanta United FC,"[0, 1]"
Inter Miami,Columbus Crew,"[2, 1]"
Charlotte,Orlando City SC,"[2, 2]"
FC Cincinnati,Philadelphia Union,"[4, 3]"
FC Dallas,Minnesota United FC,"[5, 3]"
Houston Dynamo,Seattle Sounders,"[2, 2]"
Sporting Kansas City,Real Salt Lake,"[3, 4]"
Austin,Los Angeles FC,"[1, 1]"
St. Louis City,Colorado Rapids,"[0, 3]"
San Jose Earthquakes,Portland Timbers,"[1, 2]"
Los Angeles Galaxy,New York City FC,"[2, 0]"
Orlando City SC,Chicago Fire,"[4, 2]"
Philadelphia Union,Charlotte,"[0, 2]"
New York Red Bulls,Toronto FC,"[3, 0]"
Columbus Crew,Sporting Kansas City,"[4, 0]"
DC United,Houston Dynamo,"[1, 4]"
FC Cincinnati,New England Revolution,"[1, 2]"
Minnesota United FC,Austin,"[0, 1]"
Nashville SC,New York City FC,"[1, 0]"
St. Louis City,Atlanta United FC,"[1, 1]"
Real Salt Lake,Los Angeles Galaxy,"[0, 1]"
Colorado Rapids,CF Montreal,"[4, 1]"
Seattle Sounders,FC Dallas,"[3, 2]"
Los Angeles FC,San Jose Earthquakes,"[6, 2]"
Portland Timbers,Vancouver Whitecaps,"[2, 0]"
New York City FC,Orlando City SC,"[4, 2]"
New York Red Bulls,DC United,"[2, 2]"
Atlanta United FC,Toronto FC,"[2, 1]"
New England Revolution,Columbus Crew,"[1, 5]"
CF Montreal,Philadelphia Union,"[4, 2]"
FC Dallas,FC Cincinnati,"[0, 1]"
Houston Dynamo,Charlotte,"[1, 0]"
Sporting Kansas City,Austin,"[2, 0]"
Nashville SC,Inter Miami,"[1, 2]"
Seattle Sounders,Chicago Fire,"[2, 1]"
San Jose Earthquakes,Los Angeles Galaxy,"[0, 3]"
Vancouver Whitecaps,St. Louis City,"[4, 3]"
Los Angeles FC,Colorado Rapids,"[3, 0]"
Portland Timbers,Minnesota United FC,"[3, 2]"
Columbus Crew,Nashville SC,"[2, 0]"
Toronto FC,Orlando City SC,"[1, 2]"
New York City FC,CF Montreal,"[2, 0]"
DC United,FC Cincinnati,"[2, 3]"
Charlotte,Inter Miami,"[1, 2]"
New England Revolution,Atlanta United FC,"[2, 1]"
Chicago Fire,Philadelphia Union,"[4, 3]"
Minnesota United FC,Vancouver Whitecaps,"[1, 3]"
St. Louis City,San Jose Earthquakes,"[2, 0]"
Real Salt Lake,Houston Dynamo,"[3, 2]"
FC Dallas,Portland Timbers,"[3, 2]"
Colorado Rapids,Sporting Kansas City,"[2, 1]"
Los Angeles Galaxy,Los Angeles FC,"[1, 2]"
Orlando City SC,DC United,"[5, 0]"
Philadelphia Union,New York Red Bulls,"[0, 0]"
Columbus Crew,Toronto FC,"[4, 0]"
CF Montreal,Vancouver Whitecaps,"[1, 1]"
FC Cincinnati,Inter Miami,"[6, 1]"
Austin,New York City FC,"[2, 1]"
Real Salt Lake,Atlanta United FC,"[5, 2]"
Seattle Sounders,New England Revolution,"[2, 0]"
San Jose Earthquakes,Chicago Fire,"[1, 0]"
