home,away,ft
Club Queretaro,Pachuca,"[0, 1]"
FC Juarez,Santos Laguna,"[1, 0]"
U.N.A.M. - Pumas,Toluca,"[1, 1]"
Mazatlán,Leon,"[1, 2]"
Club Tijuana,Cruz Azul,"[2, 3]"
Club America,FC Juarez,"[4, 0]"
Guadalajara Chivas,Club Queretaro,"[1, 1]"
Pachuca,Atlas,"[0, 0]"
Monterrey,Necaxa,"[1, 0]"
Toluca,Tigres UANL,"[1, 0]"
Santos Laguna,Puebla,"[0, 2]"
Atletico San Luis,U.N.A.M. - Pumas,"[2, 3]"
Pachuca,Leon,"[1, 2]"
Necaxa,Santos Laguna,"[3, 2]"
Club Queretaro,Atletico San Luis,"[1, 0]"
Puebla,Club America,"[1, 2]"
Tigres UANL,Atlas,"[2, 1]"
Leon,Toluca,"[3, 3]"
FC Juarez,Monterrey,"[2, 1]"
Cruz Azul,Pachuca,"[2, 1]"
U.N.A.M. - Pumas,Mazatlán,"[1, 0]"
Guadalajara Chivas,Club Tijuana,"[2, 1]"
Club Tijuana,FC Juarez,"[1, 2]"
Club America,Necaxa,"[2, 3]"
Mazatlán,Santos Laguna,"[1, 1]"
Atlas,Puebla,"[3, 2]"
Tigres UANL,Cruz Azul,"[2, 1]"
Toluca,Guadalajara Chivas,"[2, 1]"
Club Queretaro,Monterrey,"[2, 4]"
Atletico San Luis,Leon,"[1, 2]"
Pachuca,U.N.A.M. - Pumas,"[2, 1]"
Atlas,Necaxa,"[0, 4]"
Club America,Leon,"[1, 1]"
Santos Laguna,Cruz Azul,"[0, 1]"
Necaxa,Mazatlán,"[3, 1]"
Puebla,Club Tijuana,"[2, 0]"
FC Juarez,Toluca,"[0, 4]"
Monterrey,Atletico San Luis,"[3, 1]"
Leon,Tigres UANL,"[1, 0]"
Guadalajara Chivas,Pachuca,"[2, 1]"
U.N.A.M. - Pumas,Club America,"[0, 2]"
Santos Laguna,Atlas,"[2, 0]"
Cruz Azul,Club Queretaro,"[1, 0]"
Tigres UANL,FC Juarez,"[0, 1]"
Club Tijuana,U.N.A.M. - Pumas,"[4, 2]"
Mazatlán,Monterrey,"[1, 0]"
Pachuca,Puebla,"[2, 1]"
Toluca,Club Queretaro,"[5, 0]"
Atletico San Luis,Guadalajara Chivas,"[3, 1]"
Mazatlán,Cruz Azul,"[1, 1]"
Club America,Toluca,"[3, 0]"
FC Juarez,Pachuca,"[2, 2]"
Necaxa,Tigres UANL,"[1, 2]"
Leon,Club Tijuana,"[2, 1]"
U.N.A.M. - Pumas,Guadalajara Chivas,"[0, 1]"
Club Queretaro,Puebla,"[2, 0]"
Atlas,Atletico San Luis,"[3, 1]"
Monterrey,Santos Laguna,"[4, 2]"
Tigres UANL,Club Queretaro,"[1, 0]"
Atletico San Luis,FC Juarez,"[1, 0]"
Puebla,U.N.A.M. - Pumas,"[1, 3]"
Toluca,Necaxa,"[5, 2]"
Pachuca,Mazatlán,"[1, 1]"
Cruz Azul,Monterrey,"[1, 1]"
Guadalajara Chivas,Club America,"[0, 0]"
Santos Laguna,Leon,"[2, 1]"
Club Tijuana,Atlas,"[3, 4]"
Necaxa,Leon,"[2, 1]"
Club Queretaro,Mazatlán,"[1, 0]"
Puebla,Toluca,"[0, 3]"
Tigres UANL,Santos Laguna,"[3, 0]"
Cruz Azul,Atletico San Luis,"[3, 0]"
FC Juarez,Guadalajara Chivas,"[1, 1]"
Atlas,Club America,"[1, 3]"
U.N.A.M. - Pumas,Monterrey,"[1, 3]"
Pachuca,Club Tijuana,"[4, 1]"
Necaxa,Club Queretaro,"[2, 0]"
Mazatlán,Atlas,"[3, 2]"
Toluca,Pachuca,"[3, 2]"
FC Juarez,Puebla,"[2, 0]"
Club America,Tigres UANL,"[3, 0]"
Guadalajara Chivas,Cruz Azul,"[0, 1]"
Monterrey,Club Tijuana,"[1, 2]"
Santos Laguna,Atletico San Luis,"[2, 3]"
Leon,U.N.A.M. - Pumas,"[1, 2]"
Club Queretaro,Leon,"[1, 1]"
Club Tijuana,Necaxa,"[1, 2]"
Puebla,Tigres UANL,"[0, 0]"
Atlas,FC Juarez,"[1, 1]"
Pachuca,Club America,"[1, 0]"
Atletico San Luis,Mazatlán,"[2, 1]"
Monterrey,Guadalajara Chivas,"[3, 1]"
Cruz Azul,U.N.A.M. - Pumas,"[3, 2]"
Toluca,Santos Laguna,"[2, 1]"
Club Tijuana,Atletico San Luis,"[2, 1]"
Necaxa,Pachuca,"[3, 5]"
Mazatlán,Guadalajara Chivas,"[1, 1]"
U.N.A.M. - Pumas,FC Juarez,"[0, 0]"
Leon,Puebla,"[1, 0]"
Tigres UANL,Monterrey,"[2, 1]"
Atlas,Toluca,"[2, 3]"
Club America,Cruz Azul,"[0, 0]"
Santos Laguna,Club Queretaro,"[1, 2]"
Pachuca,Tigres UANL,"[0, 0]"
Guadalajara Chivas,Puebla,"[1, 0]"
FC Juarez,Necaxa,"[2, 2]"
Cruz Azul,Leon,"[2, 1]"
Monterrey,Club America,"[1, 0]"
Club Queretaro,Atlas,"[1, 2]"
Atletico San Luis,Toluca,"[0, 1]"
Mazatlán,Club Tijuana,"[0, 2]"
U.N.A.M. - Pumas,Santos Laguna,"[2, 0]"
Puebla,Necaxa,"[0, 1]"
Club America,Mazatlán,"[5, 0]"
Toluca,Cruz Azul,"[2, 2]"
Tigres UANL,U.N.A.M. - Pumas,"[2, 1]"
Atlas,Guadalajara Chivas,"[1, 1]"
Santos Laguna,Club Tijuana,"[0, 4]"
Atletico San Luis,Pachuca,"[2, 1]"
Leon,Monterrey,"[0, 2]"
FC Juarez,Club Queretaro,"[0, 2]"
Monterrey,Pachuca,"[1, 2]"
Monterrey,U.N.A.M. - Pumas,"[2, 0]"
Monterrey,Toluca,"[3, 2]"
Pachuca,Club America,"[0, 0]"
Necaxa,Tigres UANL,"[0, 0]"
Leon,Cruz Azul,"[2, 3]"
Toluca,Monterrey,"[2, 1]"
Club America,Pachuca,"[2, 0]"
Cruz Azul,Leon,"[2, 1]"
Tigres UANL,Necaxa,"[2, 2]"
Tigres UANL,Toluca,"[1, 1]"
Cruz Azul,Club America,"[1, 0]"
Toluca,Tigres UANL,"[3, 0]"
Club America,Cruz Azul,"[2, 1]"
Club America,Toluca,"[0, 0]"
Toluca,Club America,"[2, 0]"
