home,away,ft
San Jose Sharks,Los Angeles Kings,"[4, 2]"
Columbus Blue Jackets,New York Islanders,"[2, 0]"
Detroit Red Wings,Winnipeg Jets,"[2, 6]"
Colorado Avalanche,Tampa Bay Lightning,"[2, 5]"
Utah Mammoth,Calgary Flames,"[5, 1]"
Los Angeles Kings,Vegas Golden Knights,"[6, 3]"
Vancouver Canucks,New Jersey Devils,"[0, 6]"
Carolina Hurricanes,Boston Bruins,"[8, 2]"
Philadelphia Flyers,St. Louis Blues,"[2, 1]"
Toronto Maple Leafs,Seattle Kraken,"[4, 1]"
Washington Capitals,Montreal Canadiens,"[6, 3]"
Nashville Predators,Edmonton Oilers,"[1, 5]"
San Jose Sharks,Chicago Blackhawks,"[3, 2]"
Dallas Stars,Florida Panthers,"[4, 6]"
New York Rangers,Ottawa Senators,"[2, 1]"
Buffalo Sabres,New York Islanders,"[3, 4]"
Columbus Blue Jackets,Winnipeg Jets,"[2, 6]"
Minnesota Wild,Tampa Bay Lightning,"[5, 3]"
Calgary Flames,New Jersey Devils,"[3, 0]"
Florida Panthers,Dallas Stars,"[4, 2]"
Philadelphia Flyers,Boston Bruins,"[0, 3]"
Washington Capitals,Columbus Blue Jackets,"[7, 2]"
St. Louis Blues,Toronto Maple Leafs,"[4, 2]"
Pittsburgh Penguins,Montreal Canadiens,"[3, 1]"
Ottawa Senators,Seattle Kraken,"[3, 0]"
Detroit Red Wings,Buffalo Sabres,"[2, 1]"
Nashville Predators,Colorado Avalanche,"[5, 2]"
San Jose Sharks,Vancouver Canucks,"[2, 3]"
New York Rangers,New York Islanders,"[5, 2]"
Winnipeg Jets,Tampa Bay Lightning,"[7, 4]"
Boston Bruins,Seattle Kraken,"[2, 0]"
Carolina Hurricanes,Washington Capitals,"[4, 2]"
Calgary Flames,Edmonton Oilers,"[2, 4]"
Anaheim Ducks,Chicago Blackhawks,"[2, 4]"
Nashville Predators,Los Angeles Kings,"[0, 3]"
Edmonton Oilers,New Jersey Devils,"[0, 3]"
Buffalo Sabres,Ottawa Senators,"[5, 1]"
Carolina Hurricanes,Philadelphia Flyers,"[6, 4]"
Toronto Maple Leafs,Boston Bruins,"[4, 0]"
Minnesota Wild,Los Angeles Kings,"[1, 5]"
St. Louis Blues,Tampa Bay Lightning,"[3, 2]"
Winnipeg Jets,Utah Mammoth,"[3, 0]"
Colorado Avalanche,Seattle Kraken,"[6, 3]"
Anaheim Ducks,Vancouver Canucks,"[1, 5]"
Washington Capitals,Nashville Predators,"[3, 2]"
Chicago Blackhawks,Detroit Red Wings,"[1, 4]"
Edmonton Oilers,Vegas Golden Knights,"[2, 4]"
New Jersey Devils,Montreal Canadiens,"[5, 3]"
New York Rangers,Buffalo Sabres,"[1, 6]"
Ottawa Senators,New York Islanders,"[2, 4]"
Florida Panthers,Nashville Predators,"[6, 2]"
Carolina Hurricanes,Pittsburgh Penguins,"[5, 1]"
Dallas Stars,Chicago Blackhawks,"[3, 1]"
St. Louis Blues,Utah Mammoth,"[2, 4]"
Winnipeg Jets,Colorado Avalanche,"[1, 0]"
Los Angeles Kings,Vancouver Canucks,"[2, 4]"
San Jose Sharks,Minnesota Wild,"[2, 5]"
Toronto Maple Leafs,Detroit Red Wings,"[3, 1]"
Washington Capitals,Pittsburgh Penguins,"[2, 4]"
Anaheim Ducks,Minnesota Wild,"[2, 5]"
Winnipeg Jets,Dallas Stars,"[4, 1]"
Detroit Red Wings,New York Rangers,"[0, 4]"
St. Louis Blues,Washington Capitals,"[1, 8]"
Toronto Maple Leafs,Montreal Canadiens,"[4, 1]"
Nashville Predators,Utah Mammoth,"[4, 0]"
Colorado Avalanche,Carolina Hurricanes,"[6, 4]"
Los Angeles Kings,Columbus Blue Jackets,"[5, 2]"
Vancouver Canucks,Edmonton Oilers,"[3, 7]"
New Jersey Devils,San Jose Sharks,"[0, 1]"
Anaheim Ducks,Columbus Blue Jackets,"[4, 2]"
Buffalo Sabres,Montreal Canadiens,"[5, 7]"
Pittsburgh Penguins,Dallas Stars,"[1, 7]"
Calgary Flames,Los Angeles Kings,"[3, 1]"
Vegas Golden Knights,Carolina Hurricanes,"[2, 5]"
Toronto Maple Leafs,Ottawa Senators,"[0, 3]"
New York Rangers,Winnipeg Jets,"[3, 6]"
Florida Panthers,New Jersey Devils,"[1, 4]"
St. Louis Blues,Boston Bruins,"[2, 3]"
Seattle Kraken,Columbus Blue Jackets,"[5, 2]"
Vancouver Canucks,Calgary Flames,"[3, 1]"
Utah Mammoth,Carolina Hurricanes,"[4, 1]"
Colorado Avalanche,Los Angeles Kings,"[4, 2]"
Anaheim Ducks,Vegas Golden Knights,"[2, 3]"
Florida Panthers,New Jersey Devils,"[2, 6]"
New York Rangers,San Jose Sharks,"[3, 2]"
Tampa Bay Lightning,Winnipeg Jets,"[4, 1]"
Dallas Stars,Boston Bruins,"[7, 2]"
Minnesota Wild,Montreal Canadiens,"[3, 0]"
Seattle Kraken,Chicago Blackhawks,"[3, 1]"
Vancouver Canucks,New York Islanders,"[2, 5]"
Columbus Blue Jackets,Pittsburgh Penguins,"[6, 2]"
Calgary Flames,Nashville Predators,"[2, 0]"
Colorado Avalanche,Washington Capitals,"[2, 5]"
Utah Mammoth,Vegas Golden Knights,"[2, 4]"
Anaheim Ducks,Detroit Red Wings,"[6, 4]"
Seattle Kraken,New York Islanders,"[3, 2]"
Tampa Bay Lightning,New Jersey Devils,"[4, 0]"
Philadelphia Flyers,Buffalo Sabres,"[5, 2]"
Montreal Canadiens,Columbus Blue Jackets,"[5, 1]"
Florida Panthers,Winnipeg Jets,"[5, 0]"
Carolina Hurricanes,Ottawa Senators,"[4, 0]"
Los Angeles Kings,Detroit Red Wings,"[4, 1]"
Minnesota Wild,Dallas Stars,"[1, 2]"
Vancouver Canucks,Chicago Blackhawks,"[4, 1]"
Carolina Hurricanes,St. Louis Blues,"[4, 1]"
Vegas Golden Knights,Washington Capitals,"[2, 5]"
Seattle Kraken,New York Rangers,"[0, 2]"
Vancouver Canucks,Nashville Predators,"[3, 5]"
Philadelphia Flyers,Colorado Avalanche,"[2, 3]"
Boston Bruins,Columbus Blue Jackets,"[1, 5]"
Montreal Canadiens,Edmonton Oilers,"[3, 0]"
Dallas Stars,Anaheim Ducks,"[2, 4]"
Utah Mammoth,Washington Capitals,"[2, 6]"
Ottawa Senators,Edmonton Oilers,"[2, 5]"
St. Louis Blues,Minnesota Wild,"[2, 4]"
Winnipeg Jets,Florida Panthers,"[6, 3]"
Chicago Blackhawks,Anaheim Ducks,"[2, 3]"
Vancouver Canucks,New York Rangers,"[3, 4]"
Philadelphia Flyers,Carolina Hurricanes,"[1, 4]"
Toronto Maple Leafs,Vegas Golden Knights,"[3, 0]"
Dallas Stars,San Jose Sharks,"[5, 2]"
Seattle Kraken,Nashville Predators,"[3, 0]"
Los Angeles Kings,Buffalo Sabres,"[0, 1]"
New Jersey Devils,Carolina Hurricanes,"[4, 2]"
Ottawa Senators,Vegas Golden Knights,"[2, 3]"
Washington Capitals,Colorado Avalanche,"[1, 2]"
Detroit Red Wings,New York Islanders,"[2, 1]"
Boston Bruins,Utah Mammoth,"[1, 0]"
Chicago Blackhawks,Florida Panthers,"[3, 1]"
Calgary Flames,New York Rangers,"[3, 2]"
Edmonton Oilers,Minnesota Wild,"[3, 5]"
Pittsburgh Penguins,Winnipeg Jets,"[1, 4]"
Los Angeles Kings,Seattle Kraken,"[2, 1]"
Florida Panthers,Colorado Avalanche,"[4, 7]"
Detroit Red Wings,Boston Bruins,"[1, 2]"
Montreal Canadiens,Vegas Golden Knights,"[2, 6]"
Nashville Predators,Winnipeg Jets,"[4, 1]"
Ottawa Senators,Vancouver Canucks,"[3, 4]"
Pittsburgh Penguins,Utah Mammoth,"[1, 6]"
Tampa Bay Lightning,Dallas Stars,"[2, 4]"
Washington Capitals,New Jersey Devils,"[2, 3]"
New York Islanders,St. Louis Blues,"[3, 1]"
San Jose Sharks,Buffalo Sabres,"[2, 4]"
Edmonton Oilers,New York Rangers,"[6, 2]"
Toronto Maple Leafs,Utah Mammoth,"[3, 2]"
Carolina Hurricanes,Dallas Stars,"[6, 4]"
