home,away,ft
Lazio,AS Roma,"[1, 1]"
Napoli,Empoli,"[3, 0]"
Lecce,Como,"[0, 3]"
Monza,Napoli,"[0, 1]"
AS Roma,Verona,"[1, 0]"
Empoli,Venezia,"[2, 2]"
Bologna,Inter,"[1, 0]"
AC Milan,Atalanta,"[0, 1]"
Cagliari,Fiorentina,"[1, 2]"
Genoa,Lazio,"[0, 2]"
Torino,Udinese,"[2, 0]"
Parma,Juventus,"[1, 0]"
Venezia,AC Milan,"[0, 2]"
Como,Genoa,"[1, 0]"
Fiorentina,Empoli,"[2, 1]"
Inter,AS Roma,"[0, 1]"
Juventus,Monza,"[2, 0]"
Napoli,Torino,"[2, 0]"
Atalanta,Lecce,"[1, 1]"
Udinese,Bologna,"[0, 0]"
Lazio,Parma,"[2, 2]"
Verona,Cagliari,"[0, 2]"
Torino,Venezia,"[1, 1]"
Cagliari,Udinese,"[1, 2]"
Parma,Como,"[0, 1]"
Lecce,Napoli,"[0, 1]"
Inter,Verona,"[1, 0]"
Empoli,Lazio,"[0, 1]"
Monza,Atalanta,"[0, 4]"
AS Roma,Fiorentina,"[1, 0]"
Bologna,Juventus,"[1, 1]"
Genoa,AC Milan,"[1, 2]"
AC Milan,Bologna,"[3, 1]"
Como,Cagliari,"[3, 1]"
Lazio,Juventus,"[1, 1]"
Empoli,Parma,"[2, 1]"
Udinese,Monza,"[1, 2]"
Verona,Lecce,"[1, 1]"
Torino,Inter,"[0, 2]"
Napoli,Genoa,"[2, 2]"
Venezia,Fiorentina,"[2, 1]"
Atalanta,AS Roma,"[2, 1]"
Genoa,Atalanta,"[2, 3]"
Cagliari,Venezia,"[3, 0]"
Juventus,Udinese,"[2, 0]"
AS Roma,AC Milan,"[3, 1]"
Fiorentina,Bologna,"[3, 2]"
Verona,Como,"[1, 1]"
Inter,Lazio,"[2, 2]"
Parma,Napoli,"[0, 0]"
Lecce,Torino,"[1, 0]"
Monza,Empoli,"[1, 3]"
Napoli,Cagliari,"[2, 0]"
Como,Inter,"[0, 2]"
Bologna,Genoa,"[1, 3]"
AC Milan,Monza,"[2, 0]"
Lazio,Lecce,"[0, 1]"
Udinese,Fiorentina,"[2, 3]"
Atalanta,Parma,"[2, 3]"
Torino,AS Roma,"[0, 2]"
Empoli,Verona,"[1, 2]"
Venezia,Juventus,"[2, 3]"
