home,away,ft
Guimaraes,SC Braga,"[0, 0]"
GIL Vicente,Famalicao,"[0, 2]"
SC Braga,Nacional,"[1, 0]"
Casa Pia,GIL Vicente,"[1, 0]"
Benfica,Boavista,"[3, 0]"
Estoril,Rio Ave,"[2, 1]"
Arouca,Farense,"[2, 2]"
Estrela,Santa Clara,"[0, 0]"
AVS,Sporting CP,"[2, 2]"
Famalicao,Moreirense,"[2, 0]"
FC Porto,Guimaraes,"[1, 1]"
Nacional,Famalicao,"[2, 1]"
Arouca,FC Porto,"[0, 2]"
Guimaraes,Casa Pia,"[1, 0]"
Moreirense,Estrela,"[1, 1]"
Boavista,Santa Clara,"[1, 0]"
Farense,AVS,"[0, 1]"
Rio Ave,SC Braga,"[2, 1]"
Sporting CP,Estoril,"[3, 1]"
Estrela,GIL Vicente,"[1, 1]"
AVS,Arouca,"[0, 1]"
Benfica,Nacional,"[3, 0]"
Estoril,Farense,"[2, 2]"
SC Braga,FC Porto,"[1, 0]"
Santa Clara,Moreirense,"[1, 1]"
Casa Pia,Sporting CP,"[1, 3]"
Boavista,Guimaraes,"[1, 2]"
Famalicao,Rio Ave,"[1, 0]"
Farense,SC Braga,"[0, 1]"
GIL Vicente,Santa Clara,"[0, 1]"
FC Porto,AVS,"[2, 0]"
Sporting CP,Famalicao,"[3, 1]"
Nacional,Casa Pia,"[3, 1]"
Arouca,Estoril,"[1, 1]"
Rio Ave,Benfica,"[2, 3]"
Moreirense,Boavista,"[1, 0]"
Guimaraes,Estrela,"[2, 0]"
GIL Vicente,Benfica,"[0, 3]"
Casa Pia,Rio Ave,"[2, 1]"
Estrela,Sporting CP,"[0, 3]"
SC Braga,Arouca,"[2, 1]"
Santa Clara,Nacional,"[1, 0]"
Famalicao,AVS,"[4, 1]"
Estoril,FC Porto,"[1, 2]"
Moreirense,Guimaraes,"[2, 2]"
Boavista,GIL Vicente,"[1, 3]"
Benfica,Farense,"[3, 2]"
AVS,Estoril,"[0, 3]"
Arouca,Famalicao,"[1, 2]"
Guimaraes,Santa Clara,"[2, 0]"
GIL Vicente,Moreirense,"[0, 1]"
Nacional,Estrela,"[0, 1]"
FC Porto,Benfica,"[1, 4]"
Farense,Casa Pia,"[0, 0]"
Rio Ave,Boavista,"[0, 2]"
Sporting CP,SC Braga,"[1, 1]"
GIL Vicente,Guimaraes,"[0, 1]"
Boavista,Nacional,"[0, 1]"
Famalicao,Estoril,"[3, 0]"
Santa Clara,Sporting CP,"[0, 1]"
Casa Pia,FC Porto,"[0, 1]"
Estrela,Farense,"[0, 1]"
Benfica,Arouca,"[2, 2]"
SC Braga,AVS,"[4, 1]"
Moreirense,Rio Ave,"[0, 2]"
Rio Ave,Santa Clara,"[1, 1]"
Farense,Boavista,"[0, 1]"
FC Porto,Famalicao,"[2, 1]"
Sporting CP,Moreirense,"[3, 1]"
Nacional,GIL Vicente,"[0, 3]"
AVS,Casa Pia,"[1, 1]"
Estoril,SC Braga,"[0, 2]"
Arouca,Estrela,"[1, 0]"
Guimaraes,Benfica,"[0, 3]"
Famalicao,SC Braga,"[1, 1]"
Santa Clara,Arouca,"[2, 0]"
GIL Vicente,Farense,"[1, 0]"
