home,away,ft
West Ham,Brentford,"[0, 1]"
Manchester City,Newcastle,"[4, 0]"
Aston Villa,Ipswich,"[1, 1]"
Crystal Palace,Everton,"[1, 2]"
Liverpool,Wolves,"[2, 1]"
Tottenham,Manchester United,"[1, 0]"
Aston Villa,Liverpool,"[2, 2]"
Leicester,Brentford,"[0, 4]"
Everton,Manchester United,"[2, 2]"
Bournemouth,Wolves,"[0, 1]"
Fulham,Crystal Palace,"[0, 2]"
Southampton,Brighton,"[0, 4]"
Arsenal,West Ham,"[0, 1]"
Ipswich,Tottenham,"[1, 4]"
Aston Villa,Chelsea,"[2, 1]"
Newcastle,Nottingham Forest,"[4, 3]"
Manchester City,Liverpool,"[0, 2]"
Wolves,Fulham,"[1, 2]"
Brighton,Bournemouth,"[2, 1]"
Crystal Palace,Aston Villa,"[4, 1]"
Chelsea,Southampton,"[4, 0]"
Manchester United,Ipswich,"[3, 2]"
Tottenham,Manchester City,"[0, 1]"
Brentford,Everton,"[1, 1]"
Nottingham Forest,Arsenal,"[0, 0]"
Liverpool,Newcastle,"[2, 0]"
West Ham,Leicester,"[2, 0]"
Nottingham Forest,Manchester City,"[1, 0]"
Liverpool,Southampton,"[3, 1]"
Brighton,Fulham,"[2, 1]"
Crystal Palace,Ipswich,"[1, 0]"
Brentford,Aston Villa,"[0, 1]"
Wolves,Everton,"[1, 1]"
Tottenham,Bournemouth,"[2, 2]"
Chelsea,Leicester,"[1, 0]"
Manchester United,Arsenal,"[1, 1]"
West Ham,Newcastle,"[0, 1]"
Southampton,Wolves,"[1, 2]"
Everton,West Ham,"[1, 1]"
Manchester City,Brighton,"[2, 2]"
Ipswich,Nottingham Forest,"[2, 4]"
Bournemouth,Brentford,"[1, 2]"
Fulham,Tottenham,"[2, 0]"
Arsenal,Chelsea,"[1, 0]"
Leicester,Manchester United,"[0, 3]"
Wolves,West Ham,"[1, 0]"
Arsenal,Fulham,"[2, 1]"
Nottingham Forest,Manchester United,"[1, 0]"
Newcastle,Brentford,"[2, 1]"
Bournemouth,Ipswich,"[1, 2]"
Southampton,Crystal Palace,"[1, 1]"
Manchester City,Leicester,"[2, 0]"
Brighton,Aston Villa,"[0, 3]"
Liverpool,Everton,"[1, 0]"
Chelsea,Tottenham,"[1, 0]"
Everton,Arsenal,"[1, 1]"
West Ham,Bournemouth,"[2, 2]"
Crystal Palace,Brighton,"[2, 1]"
Ipswich,Wolves,"[1, 2]"
Aston Villa,Nottingham Forest,"[2, 1]"
Fulham,Liverpool,"[3, 2]"
Tottenham,Southampton,"[3, 1]"
Brentford,Chelsea,"[0, 0]"
Manchester United,Manchester City,"[0, 0]"
Leicester,Newcastle,"[0, 3]"
Manchester City,Crystal Palace,"[5, 2]"
Southampton,Aston Villa,"[0, 3]"
Brighton,Leicester,"[2, 2]"
Nottingham Forest,Everton,"[0, 1]"
Arsenal,Brentford,"[1, 1]"
Wolves,Tottenham,"[4, 2]"
Liverpool,West Ham,"[2, 1]"
Chelsea,Ipswich,"[2, 2]"
Newcastle,Manchester United,"[4, 1]"
Bournemouth,Fulham,"[1, 0]"
Newcastle,Crystal Palace,"[5, 0]"
Everton,Manchester City,"[0, 2]"
West Ham,Southampton,"[1, 1]"
Crystal Palace,Bournemouth,"[0, 0]"
Brentford,Brighton,"[4, 2]"
Aston Villa,Newcastle,"[4, 1]"
Manchester United,Wolves,"[0, 1]"
Fulham,Chelsea,"[1, 2]"
Ipswich,Arsenal,"[0, 4]"
Leicester,Liverpool,"[0, 1]"
Tottenham,Nottingham Forest,"[1, 2]"
Manchester City,Aston Villa,"[2, 1]"
Arsenal,Crystal Palace,"[2, 2]"
Chelsea,Everton,"[1, 0]"
Newcastle,Ipswich,"[3, 0]"
Wolves,Leicester,"[3, 0]"
Southampton,Fulham,"[1, 2]"
Brighton,West Ham,"[3, 2]"
Bournemouth,Manchester United,"[1, 1]"
Liverpool,Tottenham,"[5, 1]"
Nottingham Forest,Brentford,"[0, 2]"
Manchester City,Wolves,"[1, 0]"
Aston Villa,Fulham,"[1, 0]"
Everton,Ipswich,"[2, 2]"
Leicester,Southampton,"[2, 0]"
Arsenal,Bournemouth,"[1, 2]"
West Ham,Tottenham,"[1, 1]"
Brighton,Newcastle,"[1, 1]"
Brentford,Manchester United,"[4, 3]"
Chelsea,Liverpool,"[3, 1]"
Crystal Palace,Nottingham Forest,"[1, 1]"
Fulham,Everton,"[1, 3]"
Wolves,Brighton,"[0, 2]"
Southampton,Manchester City,"[0, 0]"
Ipswich,Brentford,"[0, 1]"
Bournemouth,Aston Villa,"[0, 1]"
Newcastle,Chelsea,"[2, 0]"
Manchester United,West Ham,"[0, 2]"
Tottenham,Crystal Palace,"[0, 2]"
Nottingham Forest,Leicester,"[2, 2]"
Liverpool,Arsenal,"[2, 2]"
Aston Villa,Tottenham,"[2, 0]"
Chelsea,Manchester United,"[1, 0]"
Everton,Southampton,"[2, 0]"
West Ham,Nottingham Forest,"[1, 2]"
Leicester,Ipswich,"[2, 0]"
Brentford,Fulham,"[2, 3]"
Arsenal,Newcastle,"[1, 0]"
Brighton,Liverpool,"[3, 2]"
Manchester City,Bournemouth,"[3, 1]"
Crystal Palace,Wolves,"[4, 2]"
Manchester United,Aston Villa,"[2, 0]"
Newcastle,Everton,"[0, 1]"
Bournemouth,Leicester,"[2, 0]"
Fulham,Manchester City,"[0, 2]"
Wolves,Brentford,"[1, 1]"
Liverpool,Crystal Palace,"[1, 1]"
Southampton,Arsenal,"[1, 2]"
Tottenham,Brighton,"[1, 4]"
Ipswich,West Ham,"[1, 3]"
Nottingham Forest,Chelsea,"[0, 1]"
