home,away,ft
Almere City FC,NAC Breda,"[1, 1]"
Utrecht,NEC Nijmegen,"[0, 1]"
Sparta Rotterdam,PEC Zwolle,"[1, 1]"
Waalwijk,PSV Eindhoven,"[0, 3]"
Heerenveen,Heracles,"[1, 1]"
GO Ahead Eagles,Willem II,"[1, 0]"
Groningen,Fortuna Sittard,"[1, 0]"
Twente,Feyenoord,"[2, 6]"
Ajax,AZ Alkmaar,"[2, 2]"
NAC Breda,Groningen,"[1, 1]"
Willem II,Almere City FC,"[0, 2]"
Fortuna Sittard,Sparta Rotterdam,"[0, 3]"
PEC Zwolle,Waalwijk,"[2, 0]"
NEC Nijmegen,AZ Alkmaar,"[3, 3]"
Utrecht,Heerenveen,"[2, 0]"
PSV Eindhoven,Ajax,"[0, 2]"
Heracles,Twente,"[2, 1]"
Feyenoord,GO Ahead Eagles,"[3, 2]"
AZ Alkmaar,Waalwijk,"[2, 2]"
Feyenoord,Groningen,"[4, 1]"
Heerenveen,Willem II,"[3, 1]"
AZ Alkmaar,Feyenoord,"[0, 1]"
Twente,Fortuna Sittard,"[1, 1]"
Groningen,PSV Eindhoven,"[1, 3]"
Almere City FC,PEC Zwolle,"[2, 2]"
Waalwijk,Heracles,"[0, 0]"
GO Ahead Eagles,Utrecht,"[2, 2]"
Sparta Rotterdam,NEC Nijmegen,"[2, 0]"
Ajax,NAC Breda,"[3, 1]"
NEC Nijmegen,Waalwijk,"[2, 1]"
Fortuna Sittard,Feyenoord,"[0, 2]"
Sparta Rotterdam,Heerenveen,"[3, 1]"
PSV Eindhoven,Almere City FC,"[5, 0]"
NAC Breda,GO Ahead Eagles,"[1, 1]"
Utrecht,Groningen,"[3, 1]"
PEC Zwolle,Twente,"[1, 1]"
Heracles,AZ Alkmaar,"[1, 0]"
Willem II,Ajax,"[1, 2]"
Heerenveen,Almere City FC,"[2, 1]"
Utrecht,Ajax,"[4, 0]"
Groningen,Heracles,"[4, 1]"
AZ Alkmaar,NAC Breda,"[1, 1]"
Twente,PSV Eindhoven,"[1, 3]"
Waalwijk,Utrecht,"[0, 4]"
Feyenoord,PEC Zwolle,"[4, 0]"
Fortuna Sittard,Willem II,"[1, 0]"
Ajax,Sparta Rotterdam,"[1, 1]"
Heerenveen,NEC Nijmegen,"[1, 0]"
Almere City FC,GO Ahead Eagles,"[0, 0]"
NEC Nijmegen,Willem II,"[1, 1]"
Heracles,Feyenoord,"[1, 4]"
Groningen,Waalwijk,"[6, 1]"
PSV Eindhoven,Fortuna Sittard,"[4, 1]"
NAC Breda,PEC Zwolle,"[1, 3]"
GO Ahead Eagles,AZ Alkmaar,"[0, 3]"
Sparta Rotterdam,Twente,"[0, 2]"
Willem II,Heracles,"[1, 2]"
Waalwijk,Heerenveen,"[3, 1]"
Fortuna Sittard,NAC Breda,"[1, 0]"
Almere City FC,Sparta Rotterdam,"[0, 3]"
PEC Zwolle,GO Ahead Eagles,"[1, 1]"
Feyenoord,PSV Eindhoven,"[2, 3]"
Twente,Utrecht,"[2, 0]"
Ajax,NEC Nijmegen,"[0, 3]"
AZ Alkmaar,Groningen,"[3, 0]"
Den Bosch,Cambuur,"[1, 0]"
Telstar,ADO Den Haag,"[2, 0]"
De Graafschap,Dordrecht,"[0, 0]"
Willem II,PEC Zwolle,"[1, 2]"
PSV Eindhoven,Heracles,"[4, 1]"
Groningen,Ajax,"[2, 2]"
Utrecht,Sparta Rotterdam,"[1, 1]"
Feyenoord,Waalwijk,"[2, 0]"
GO Ahead Eagles,Heerenveen,"[1, 0]"
NEC Nijmegen,NAC Breda,"[3, 0]"
Twente,AZ Alkmaar,"[2, 3]"
Almere City FC,Fortuna Sittard,"[1, 1]"
ADO Den Haag,Telstar,"[0, 1]"
Dordrecht,De Graafschap,"[2, 0]"
PEC Zwolle,Groningen,"[2, 0]"
Ajax,Twente,"[2, 0]"
AZ Alkmaar,Almere City FC,"[1, 1]"
NAC Breda,Willem II,"[1, 1]"
Fortuna Sittard,Utrecht,"[0, 0]"
Heracles,NEC Nijmegen,"[1, 2]"
Heerenveen,Feyenoord,"[2, 0]"
Waalwijk,GO Ahead Eagles,"[5, 3]"
Sparta Rotterdam,PSV Eindhoven,"[1, 3]"
Den Bosch,Telstar,"[0, 0]"
Dordrecht,Willem II,"[2, 1]"
AZ Alkmaar,Heerenveen,"[4, 1]"
AZ Alkmaar,Twente,"[3, 2]"
Telstar,Willem II,"[2, 2]"
Willem II,Telstar,"[1, 3]"
