home,away,ft
Banfield,Instituto Cordoba,"[1, 2]"
Gimnasia L.P.,Argentinos JRS,"[1, 0]"
Godoy Cruz,Central Cordoba de Santiago,"[1, 1]"
Deportivo Riestra,Huracan,"[1, 0]"
Lanus,Union Santa Fe,"[1, 1]"
Central Cordoba de Santiago,Instituto Cordoba,"[2, 1]"
River Plate,Atletico Tucuman,"[4, 1]"
San Lorenzo,Velez Sarsfield,"[0, 1]"
Racing Club,Boca Juniors,"[2, 1]"
Belgrano Cordoba,Independiente,"[1, 1]"
Tigre,Gimnasia L.P.,"[1, 1]"
Godoy Cruz,Sarmiento Junin,"[1, 1]"
Estudiantes L.P.,Platense,"[1, 1]"
Rosario Central,Talleres Cordoba,"[2, 2]"
Argentinos JRS,Newells Old Boys,"[3, 0]"
Barracas Central,Banfield,"[0, 1]"
Independ. Rivadavia,Defensa Y Justicia,"[1, 0]"
Gimnasia L.P.,Deportivo Riestra,"[0, 0]"
Union Santa Fe,Godoy Cruz,"[3, 1]"
Boca Juniors,River Plate,"[0, 1]"
Newells Old Boys,Tigre,"[1, 0]"
Instituto Cordoba,Barracas Central,"[0, 1]"
Defensa Y Justicia,San Lorenzo,"[0, 0]"
Huracan,Lanus,"[3, 0]"
Independiente,Argentinos JRS,"[0, 0]"
Talleres Cordoba,Racing Club,"[2, 0]"
Atletico Tucuman,Belgrano Cordoba,"[2, 4]"
Platense,Rosario Central,"[1, 0]"
Sarmiento Junin,Central Cordoba de Santiago,"[1, 3]"
Velez Sarsfield,Estudiantes L.P.,"[2, 0]"
Banfield,Independ. Rivadavia,"[2, 0]"
Deportivo Riestra,Newells Old Boys,"[3, 3]"
Independ. Rivadavia,Instituto Cordoba,"[1, 1]"
San Lorenzo,Banfield,"[2, 1]"
Godoy Cruz,Huracan,"[1, 1]"
Estudiantes L.P.,Defensa Y Justicia,"[1, 0]"
Belgrano Cordoba,Boca Juniors,"[2, 0]"
Central Cordoba de Santiago,Barracas Central,"[2, 1]"
River Plate,Talleres Cordoba,"[0, 1]"
Sarmiento Junin,Union Santa Fe,"[1, 0]"
Argentinos JRS,Atletico Tucuman,"[0, 0]"
