home,away,ft
Bloomington Bison,Toledo Walleye,"[1, 2]"
Idaho Steelheads,Tulsa Oilers,"[2, 3]"
Tahoe Knight Monsters,Utah Grizzlies,"[5, 2]"
Kalamazoo Wings,Indy Fuel,"[0, 2]"
Norfolk Admirals,Cincinnati Cyclones,"[3, 2]"
Tahoe Knight Monsters,Utah Grizzlies,"[7, 3]"
Cincinnati Cyclones,Iowa Heartlanders,"[4, 1]"
Indy Fuel,Bloomington Bison,"[1, 3]"
Allen Americans,Wichita Thunder,"[1, 4]"
Savannah Ghost Pirates,Atlanta Gladiators,"[1, 4]"
Greenville Swamp Rabbits,Jacksonville IceMen,"[3, 0]"
Kalamazoo Wings,Cincinnati Cyclones,"[2, 5]"
Reading Royals,Adirondack Thunder,"[1, 4]"
Norfolk Admirals,Trois-Rivieres Lions,"[3, 5]"
Wheeling Nailers,Toledo Walleye,"[0, 4]"
Atlanta Gladiators,Orlando Solar Bears,"[3, 1]"
Florida Everblades,South Carolina Stingrays,"[3, 2]"
Fort Wayne Komets,Indy Fuel,"[3, 0]"
Bloomington Bison,Iowa Heartlanders,"[5, 2]"
Allen Americans,Wichita Thunder,"[1, 5]"
Utah Grizzlies,Tahoe Knight Monsters,"[6, 3]"
Worcester Railers,Maine Mariners,"[5, 1]"
Iowa Heartlanders,Bloomington Bison,"[6, 1]"
Kalamazoo Wings,Cincinnati Cyclones,"[2, 1]"
Indy Fuel,Fort Wayne Komets,"[5, 2]"
Atlanta Gladiators,Jacksonville IceMen,"[2, 7]"
Adirondack Thunder,Reading Royals,"[3, 6]"
Florida Everblades,South Carolina Stingrays,"[1, 4]"
Kansas City,Tulsa Oilers,"[0, 5]"
Norfolk Admirals,Trois-Rivieres Lions,"[2, 3]"
Wichita Thunder,Allen Americans,"[2, 4]"
Toledo Walleye,Wheeling Nailers,"[2, 5]"
Utah Grizzlies,Tahoe Knight Monsters,"[6, 4]"
Idaho Steelheads,Rapid City Rush,"[4, 3]"
Kalamazoo Wings,Wheeling Nailers,"[2, 1]"
Savannah Ghost Pirates,Greenville Swamp Rabbits,"[6, 3]"
Norfolk Admirals,Trois-Rivieres Lions,"[5, 2]"
Worcester Railers,Maine Mariners,"[5, 8]"
Tulsa Oilers,Allen Americans,"[4, 3]"
Orlando Solar Bears,South Carolina Stingrays,"[5, 0]"
Trois-Rivieres Lions,Adirondack Thunder,"[6, 2]"
Reading Royals,Worcester Railers,"[2, 1]"
Kalamazoo Wings,Bloomington Bison,"[5, 1]"
Jacksonville IceMen,South Carolina Stingrays,"[7, 6]"
Indy Fuel,Fort Wayne Komets,"[2, 4]"
Cincinnati Cyclones,Wheeling Nailers,"[2, 3]"
Savannah Ghost Pirates,Norfolk Admirals,"[5, 3]"
Florida Everblades,Orlando Solar Bears,"[2, 1]"
Allen Americans,Kansas City,"[2, 5]"
Utah Grizzlies,Rapid City Rush,"[3, 6]"
Maine Mariners,Adirondack Thunder,"[1, 2]"
South Carolina Stingrays,Savannah Ghost Pirates,"[1, 5]"
Worcester Railers,Reading Royals,"[5, 3]"
Indy Fuel,Toledo Walleye,"[1, 4]"
Florida Everblades,Orlando Solar Bears,"[4, 2]"
Atlanta Gladiators,Norfolk Admirals,"[3, 1]"
Greenville Swamp Rabbits,Jacksonville IceMen,"[0, 3]"
Wichita Thunder,Idaho Steelheads,"[5, 0]"
Wheeling Nailers,Iowa Heartlanders,"[6, 2]"
Fort Wayne Komets,Cincinnati Cyclones,"[4, 1]"
Bloomington Bison,Kalamazoo Wings,"[2, 3]"
Allen Americans,Kansas City,"[2, 4]"
Utah Grizzlies,Rapid City Rush,"[5, 3]"
Tahoe Knight Monsters,Tulsa Oilers,"[5, 3]"
Atlanta Gladiators,Norfolk Admirals,"[3, 6]"
Trois-Rivieres Lions,Maine Mariners,"[6, 2]"
Greenville Swamp Rabbits,Jacksonville IceMen,"[2, 5]"
Worcester Railers,Adirondack Thunder,"[3, 7]"
Bloomington Bison,Kalamazoo Wings,"[5, 2]"
Wheeling Nailers,Iowa Heartlanders,"[3, 1]"
Adirondack Thunder,Worcester Railers,"[5, 6]"
Savannah Ghost Pirates,South Carolina Stingrays,"[3, 11]"
Kalamazoo Wings,Indy Fuel,"[2, 3]"
Cincinnati Cyclones,Toledo Walleye,"[2, 3]"
Greenville Swamp Rabbits,Norfolk Admirals,"[3, 8]"
Wheeling Nailers,Reading Royals,"[7, 3]"
Allen Americans,Idaho Steelheads,"[2, 6]"
Fort Wayne Komets,Bloomington Bison,"[2, 3]"
Rapid City Rush,Tulsa Oilers,"[5, 2]"
Orlando Solar Bears,Greenville Swamp Rabbits,"[2, 5]"
Adirondack Thunder,Trois-Rivieres Lions,"[2, 7]"
Indy Fuel,Kalamazoo Wings,"[4, 1]"
Norfolk Admirals,Wheeling Nailers,"[4, 5]"
Florida Everblades,Jacksonville IceMen,"[6, 2]"
Fort Wayne Komets,Toledo Walleye,"[3, 4]"
Bloomington Bison,Cincinnati Cyclones,"[2, 3]"
Kansas City,Allen Americans,"[5, 2]"
Wichita Thunder,Iowa Heartlanders,"[5, 0]"
Rapid City Rush,Tulsa Oilers,"[0, 5]"
Idaho Steelheads,Utah Grizzlies,"[1, 4]"
Kansas City,Allen Americans,"[2, 5]"
Maine Mariners,Tahoe Knight Monsters,"[3, 0]"
Worcester Railers,Reading Royals,"[3, 1]"
Cincinnati Cyclones,Indy Fuel,"[4, 2]"
Kalamazoo Wings,Bloomington Bison,"[2, 7]"
Savannah Ghost Pirates,Atlanta Gladiators,"[6, 5]"
Trois-Rivieres Lions,Adirondack Thunder,"[5, 2]"
Norfolk Admirals,Wheeling Nailers,"[9, 3]"
Toledo Walleye,Fort Wayne Komets,"[3, 0]"
Rapid City Rush,Tulsa Oilers,"[3, 1]"
Idaho Steelheads,Utah Grizzlies,"[3, 2]"
Trois-Rivieres Lions,Adirondack Thunder,"[6, 1]"
Savannah Ghost Pirates,Atlanta Gladiators,"[3, 4]"
Maine Mariners,Tahoe Knight Monsters,"[2, 5]"
South Carolina Stingrays,Jacksonville IceMen,"[2, 1]"
Wichita Thunder,Iowa Heartlanders,"[1, 5]"
Fort Wayne Komets,Cincinnati Cyclones,"[2, 3]"
Toledo Walleye,Kalamazoo Wings,"[3, 0]"
Savannah Ghost Pirates,Cincinnati Cyclones,"[0, 1]"
Jacksonville IceMen,Greenville Swamp Rabbits,"[5, 2]"
Atlanta Gladiators,South Carolina Stingrays,"[3, 7]"
Allen Americans,Wichita Thunder,"[5, 3]"
Idaho Steelheads,Florida Everblades,"[0, 4]"
Adirondack Thunder,Orlando Solar Bears,"[0, 6]"
Indy Fuel,Wheeling Nailers,"[1, 4]"
Jacksonville IceMen,Atlanta Gladiators,"[4, 1]"
Reading Royals,Trois-Rivieres Lions,"[1, 4]"
Toledo Walleye,Bloomington Bison,"[1, 4]"
Iowa Heartlanders,Kalamazoo Wings,"[4, 3]"
Wichita Thunder,Allen Americans,"[5, 2]"
Rapid City Rush,Tahoe Knight Monsters,"[1, 3]"
Idaho Steelheads,Florida Everblades,"[5, 4]"
Utah Grizzlies,Kansas City,"[5, 2]"
Maine Mariners,Norfolk Admirals,"[3, 10]"
Atlanta Gladiators,Cincinnati Cyclones,"[2, 4]"
Iowa Heartlanders,Indy Fuel,"[4, 1]"
Jacksonville IceMen,South Carolina Stingrays,"[5, 1]"
Reading Royals,Trois-Rivieres Lions,"[5, 4]"
Bloomington Bison,Kalamazoo Wings,"[3, 0]"
Tulsa Oilers,Fort Wayne Komets,"[3, 5]"
Rapid City Rush,Tahoe Knight Monsters,"[4, 6]"
Idaho Steelheads,Florida Everblades,"[1, 6]"
Utah Grizzlies,Kansas City,"[5, 4]"
Adirondack Thunder,Orlando Solar Bears,"[2, 3]"
Atlanta Gladiators,Cincinnati Cyclones,"[5, 3]"
Maine Mariners,Norfolk Admirals,"[5, 3]"
Reading Royals,Trois-Rivieres Lions,"[4, 3]"
Greenville Swamp Rabbits,Savannah Ghost Pirates,"[2, 4]"
Wichita Thunder,Fort Wayne Komets,"[0, 3]"
Iowa Heartlanders,Indy Fuel,"[2, 1]"
Wheeling Nailers,Worcester Railers,"[1, 2]"
Rapid City Rush,Tahoe Knight Monsters,"[3, 2]"
Orlando Solar Bears,Jacksonville IceMen,"[2, 0]"
Allen Americans,Tulsa Oilers,"[3, 4]"
Florida Everblades,Savannah Ghost Pirates,"[1, 2]"
Cincinnati Cyclones,Utah Grizzlies,"[3, 1]"
Wichita Thunder,Allen Americans,"[4, 1]"
Indy Fuel,Kalamazoo Wings,"[4, 0]"
Greenville Swamp Rabbits,South Carolina Stingrays,"[1, 5]"
Norfolk Admirals,Trois-Rivieres Lions,"[5, 2]"
Worcester Railers,Adirondack Thunder,"[4, 3]"
Atlanta Gladiators,Orlando Solar Bears,"[2, 3]"
Florida Everblades,Savannah Ghost Pirates,"[5, 2]"
Cincinnati Cyclones,Maine Mariners,"[6, 1]"
Fort Wayne Komets,Toledo Walleye,"[4, 2]"
Bloomington Bison,Utah Grizzlies,"[3, 1]"
Iowa Heartlanders,Tahoe Knight Monsters,"[7, 3]"
Kansas City,Rapid City Rush,"[5, 2]"
South Carolina Stingrays,Orlando Solar Bears,"[5, 2]"
Worcester Railers,Wheeling Nailers,"[4, 3]"
Florida Everblades,Savannah Ghost Pirates,"[5, 3]"
Reading Royals,Jacksonville IceMen,"[2, 1]"
Kansas City,Rapid City Rush,"[5, 1]"
Norfolk Admirals,Trois-Rivieres Lions,"[0, 3]"
Fort Wayne Komets,Maine Mariners,"[5, 2]"
Bloomington Bison,Utah Grizzlies,"[4, 1]"
South Carolina Stingrays,Greenville Swamp Rabbits,"[5, 2]"
Norfolk Admirals,Trois-Rivieres Lions,"[3, 4]"
Bloomington Bison,Utah Grizzlies,"[1, 4]"
Tulsa Oilers,Idaho Steelheads,"[4, 1]"
Reading Royals,Jacksonville IceMen,"[5, 3]"
Orlando Solar Bears,Atlanta Gladiators,"[8, 5]"
Cincinnati Cyclones,Toledo Walleye,"[2, 1]"
Greenville Swamp Rabbits,Reading Royals,"[2, 3]"
Wheeling Nailers,Kansas City,"[4, 3]"
Maine Mariners,Worcester Railers,"[4, 2]"
Cincinnati Cyclones,Iowa Heartlanders,"[3, 1]"
Idaho Steelheads,Tulsa Oilers,"[5, 2]"
Utah Grizzlies,Wichita Thunder,"[4, 6]"
Tahoe Knight Monsters,Fort Wayne Komets,"[2, 5]"
Cincinnati Cyclones,Bloomington Bison,"[0, 3]"
Savannah Ghost Pirates,Florida Everblades,"[0, 2]"
Maine Mariners,Worcester Railers,"[3, 1]"
Adirondack Thunder,Norfolk Admirals,"[6, 1]"
Kalamazoo Wings,Indy Fuel,"[1, 4]"
Wheeling Nailers,Kansas City,"[1, 7]"
Rapid City Rush,Allen Americans,"[8, 4]"
Utah Grizzlies,Wichita Thunder,"[9, 3]"
Tahoe Knight Monsters,Fort Wayne Komets,"[2, 0]"
Adirondack Thunder,Norfolk Admirals,"[2, 4]"
Kalamazoo Wings,Bloomington Bison,"[6, 3]"
Maine Mariners,Trois-Rivieres Lions,"[2, 4]"
Savannah Ghost Pirates,Florida Everblades,"[0, 6]"
Orlando Solar Bears,Jacksonville IceMen,"[1, 2]"
Wheeling Nailers,Kansas City,"[1, 3]"
Toledo Walleye,Iowa Heartlanders,"[4, 2]"
Tahoe Knight Monsters,Fort Wayne Komets,"[1, 6]"
Orlando Solar Bears,Jacksonville IceMen,"[4, 1]"
Adirondack Thunder,Norfolk Admirals,"[2, 6]"
Trois-Rivieres Lions,Maine Mariners,"[4, 1]"
South Carolina Stingrays,Savannah Ghost Pirates,"[4, 1]"
Cincinnati Cyclones,Greenville Swamp Rabbits,"[4, 1]"
Kansas City,Tahoe Knight Monsters,"[2, 1]"
Allen Americans,Rapid City Rush,"[3, 2]"
Indy Fuel,Greenville Swamp Rabbits,"[3, 4]"
Jacksonville IceMen,Savannah Ghost Pirates,"[7, 2]"
Trois-Rivieres Lions,Maine Mariners,"[5, 1]"
