home,away,ft
Al Orubah,Al Wehda Club,"[4, 2]"
Al-Nassr,Al-Fayha,"[3, 0]"
Al-Ahli Jeddah,Al-Fateh,"[2, 0]"
Al Kholood,Al Riyadh,"[3, 2]"
Al Okhdood,Al-Ettifaq,"[0, 2]"
Damac,Al-Hilal Saudi FC,"[2, 2]"
Al Okhdood,Damac,"[0, 0]"
Al Shabab,Al-Qadisiyah FC,"[2, 3]"
Al-Ahli Jeddah,Al-Nassr,"[2, 3]"
Al Orubah,Al Kholood,"[2, 0]"
Al-Ettifaq,Al-Fateh,"[1, 2]"
Al-Hilal Saudi FC,Al Riyadh,"[1, 1]"
Al Khaleej Saihat,Al Taawon,"[0, 1]"
Al-Raed,Al-Fayha,"[0, 2]"
Al Wehda Club,Al-Ittihad FC,"[1, 4]"
Al-Fateh,Al Orubah,"[1, 0]"
Al-Fayha,Al Khaleej Saihat,"[0, 0]"
Al Riyadh,Al-Raed,"[1, 3]"
Damac,Al-Ahli Jeddah,"[0, 2]"
Al-Qadisiyah FC,Al Okhdood,"[2, 0]"
Al-Nassr,Al-Ettifaq,"[2, 3]"
Al Kholood,Al Wehda Club,"[1, 0]"
Al Taawon,Al Shabab,"[2, 2]"
Al-Ittihad FC,Al-Hilal Saudi FC,"[4, 1]"
Al Okhdood,Al-Fateh,"[1, 3]"
Damac,Al Orubah,"[1, 2]"
Al-Raed,Al Shabab,"[1, 2]"
Al-Hilal Saudi FC,Al Kholood,"[5, 1]"
Al Wehda Club,Al-Nassr,"[0, 2]"
Al-Ahli Jeddah,Al-Qadisiyah FC,"[4, 1]"
Al-Ettifaq,Al Taawon,"[1, 0]"
Al Riyadh,Al-Fayha,"[0, 0]"
Al Khaleej Saihat,Al-Ittihad FC,"[1, 1]"
Al-Hilal Saudi FC,Al-Ahli Jeddah,"[2, 3]"
Al Shabab,Damac,"[2, 0]"
Al Orubah,Al-Nassr,"[2, 1]"
Al-Fateh,Al Taawon,"[1, 2]"
Al-Fayha,Al Wehda Club,"[0, 0]"
Al Kholood,Al Khaleej Saihat,"[2, 1]"
Al-Qadisiyah FC,Al Riyadh,"[1, 0]"
Al-Raed,Al-Ettifaq,"[1, 1]"
Al-Ittihad FC,Al Okhdood,"[1, 1]"
Al-Qadisiyah FC,Al-Ittihad FC,"[1, 1]"
Al Kholood,Al-Fateh,"[2, 1]"
Al Wehda Club,Al-Raed,"[3, 1]"
Al-Ahli Jeddah,Al Khaleej Saihat,"[2, 2]"
Al-Nassr,Al Shabab,"[2, 2]"
Al-Fayha,Al-Hilal Saudi FC,"[0, 2]"
Al Taawon,Damac,"[3, 0]"
Al Orubah,Al-Ettifaq,"[1, 2]"
Al Riyadh,Al Okhdood,"[1, 0]"
Al-Fateh,Al-Raed,"[3, 1]"
Al-Ittihad FC,Al Riyadh,"[2, 1]"
Al Shabab,Al Orubah,"[6, 0]"
Al Khaleej Saihat,Al Wehda Club,"[0, 2]"
Al-Nassr,Al Kholood,"[3, 1]"
Damac,Al-Qadisiyah FC,"[1, 0]"
Al-Ettifaq,Al-Fayha,"[0, 2]"
Al Taawon,Al-Hilal Saudi FC,"[0, 2]"
Al Okhdood,Al-Ahli Jeddah,"[2, 1]"
Al Kholood,Al Taawon,"[0, 2]"
Al Orubah,Al Okhdood,"[0, 1]"
Al-Hilal Saudi FC,Al-Nassr,"[1, 3]"
Al-Qadisiyah FC,Al-Ettifaq,"[1, 1]"
Al Riyadh,Damac,"[0, 0]"
Al-Ahli Jeddah,Al-Ittihad FC,"[2, 2]"
Al-Fayha,Al-Fateh,"[1, 1]"
Al-Raed,Al Khaleej Saihat,"[1, 2]"
Al Wehda Club,Al Shabab,"[1, 3]"
Al Shabab,Al Kholood,"[2, 0]"
Damac,Al Wehda Club,"[0, 1]"
Al-Ittihad FC,Al Orubah,"[2, 0]"
Al Okhdood,Al Taawon,"[1, 1]"
Al-Raed,Al-Ahli Jeddah,"[0, 2]"
Al-Ettifaq,Al-Hilal Saudi FC,"[1, 1]"
Al Khaleej Saihat,Al-Fateh,"[1, 5]"
Al-Fayha,Al-Qadisiyah FC,"[2, 1]"
Al-Nassr,Al Riyadh,"[2, 1]"
Al-Ettifaq,Al Riyadh,"[1, 0]"
Al-Hilal Saudi FC,Al Khaleej Saihat,"[3, 0]"
Al Shabab,Al Okhdood,"[0, 0]"
Al-Fateh,Al-Ittihad FC,"[2, 0]"
Al Kholood,Damac,"[1, 3]"
Al-Ahli Jeddah,Al-Fayha,"[5, 0]"
Al-Qadisiyah FC,Al-Nassr,"[2, 1]"
Al Orubah,Al-Raed,"[0, 4]"
Al Taawon,Al Wehda Club,"[0, 2]"
Al-Hilal Saudi FC,Al Shabab,"[2, 2]"
Al-Ittihad FC,Al-Ettifaq,"[3, 2]"
Damac,Al-Nassr,"[2, 3]"
Al Wehda Club,Al-Ahli Jeddah,"[2, 3]"
Al Riyadh,Al-Fateh,"[2, 2]"
Al Kholood,Al Okhdood,"[0, 1]"
Al Khaleej Saihat,Al-Qadisiyah FC,"[1, 1]"
Al Orubah,Al-Fayha,"[2, 2]"
Al Taawon,Al-Raed,"[4, 3]"
Al Okhdood,Al Wehda Club,"[1, 2]"
Al Riyadh,Al Orubah,"[2, 4]"
Al-Fateh,Al Shabab,"[3, 1]"
Al-Ettifaq,Al Khaleej Saihat,"[2, 1]"
Al-Fayha,Damac,"[2, 1]"
Al-Qadisiyah FC,Al Kholood,"[4, 1]"
Al-Raed,Al-Hilal Saudi FC,"[3, 5]"
Al-Ahli Jeddah,Al Taawon,"[2, 0]"
Al-Nassr,Al-Ittihad FC,"[2, 3]"
Al Kholood,Al-Ettifaq,"[1, 0]"
Al Wehda Club,Al-Fateh,"[1, 0]"
Al Khaleej Saihat,Al Riyadh,"[1, 2]"
Al Shabab,Al-Ahli Jeddah,"[3, 1]"
Damac,Al-Raed,"[1, 0]"
Al Taawon,Al-Qadisiyah FC,"[0, 1]"
Al-Ittihad FC,Al-Fayha,"[3, 0]"
Al-Hilal Saudi FC,Al Orubah,"[4, 0]"
Al Okhdood,Al-Nassr,"[0, 9]"
Al-Qadisiyah FC,Al Wehda Club,"[3, 1]"
Al Riyadh,Al Shabab,"[1, 3]"
Al-Raed,Al-Ittihad FC,"[1, 3]"
Al-Fateh,Al-Hilal Saudi FC,"[3, 4]"
Al Orubah,Al Khaleej Saihat,"[1, 2]"
Al-Nassr,Al Taawon,"[1, 1]"
Al-Ettifaq,Damac,"[0, 0]"
Al-Fayha,Al Okhdood,"[2, 0]"
Al-Ahli Jeddah,Al Kholood,"[4, 1]"
Al-Qadisiyah FC,Al Orubah,"[3, 1]"
Al Taawon,Al Riyadh,"[3, 2]"
Al Shabab,Al-Ittihad FC,"[2, 3]"
Al-Nassr,Al Khaleej Saihat,"[2, 0]"
Al Kholood,Al-Fayha,"[2, 0]"
Al Wehda Club,Al-Hilal Saudi FC,"[1, 1]"
Al Okhdood,Al-Raed,"[1, 0]"
Damac,Al-Fateh,"[0, 1]"
Al-Ahli Jeddah,Al-Ettifaq,"[1, 3]"
Al Khaleej Saihat,Al Okhdood,"[2, 3]"
Al-Fateh,Al-Nassr,"[3, 2]"
Al-Hilal Saudi FC,Al-Qadisiyah FC,"[2, 0]"
Al-Ettifaq,Al Wehda Club,"[2, 1]"
Al-Raed,Al Kholood,"[1, 2]"
Al-Ittihad FC,Damac,"[1, 0]"
Al-Fayha,Al Shabab,"[0, 2]"
Al Orubah,Al Taawon,"[3, 2]"
Al Riyadh,Al-Ahli Jeddah,"[0, 1]"
