home,away,ft
Omaha Lancers,Sioux City,"[3, 5]"
Madison Capitols,Muskegon Lumberjacks,"[2, 1]"
Lincoln Stars,Tri-City Storm,"[2, 5]"
Green Bay Gamblers,Youngstown Phantoms,"[3, 8]"
Chicago Steel,Cedar Rapids,"[1, 4]"
Fargo Force,Sioux Falls Stampede,"[0, 4]"
Fargo Force,Sioux Falls Stampede,"[6, 4]"
Green Bay Gamblers,Youngstown Phantoms,"[2, 5]"
Sioux City,Omaha Lancers,"[6, 4]"
Tri-City Storm,Lincoln Stars,"[2, 5]"
Des Moines Buccaneers,Dubuque Fighting Saints,"[2, 7]"
Cedar Rapids,Chicago Steel,"[2, 1]"
Madison Capitols,Muskegon Lumberjacks,"[2, 5]"
Youngstown Phantoms,Muskegon Lumberjacks,"[2, 3]"
Omaha Lancers,Tri-City Storm,"[1, 4]"
Sioux City,Sioux Falls Stampede,"[2, 3]"
Green Bay Gamblers,Madison Capitols,"[4, 1]"
Chicago Steel,USA U18,"[8, 3]"
Dubuque Fighting Saints,Cedar Rapids,"[3, 6]"
Omaha Lancers,Des Moines Buccaneers,"[0, 5]"
Waterloo Black Hawks,Fargo Force,"[3, 5]"
Sioux Falls Stampede,Sioux City,"[5, 1]"
Lincoln Stars,Tri-City Storm,"[9, 3]"
Chicago Steel,USA U18,"[8, 4]"
Cedar Rapids,Dubuque Fighting Saints,"[3, 4]"
Green Bay Gamblers,Cedar Rapids,"[5, 6]"
Lincoln Stars,Omaha Lancers,"[4, 1]"
Sioux Falls Stampede,Des Moines Buccaneers,"[3, 2]"
Waterloo Black Hawks,Dubuque Fighting Saints,"[4, 5]"
Dubuque Fighting Saints,Youngstown Phantoms,"[4, 1]"
Green Bay Gamblers,Madison Capitols,"[7, 4]"
Sioux City,Omaha Lancers,"[3, 0]"
Sioux Falls Stampede,Chicago Steel,"[4, 3]"
Tri-City Storm,Lincoln Stars,"[3, 2]"
Muskegon Lumberjacks,USA U18,"[3, 2]"
Sioux City,Fargo Force,"[3, 1]"
Sioux Falls Stampede,Chicago Steel,"[3, 2]"
Waterloo Black Hawks,Cedar Rapids,"[5, 3]"
Madison Capitols,Green Bay Gamblers,"[5, 7]"
Cedar Rapids,Dubuque Fighting Saints,"[2, 3]"
Des Moines Buccaneers,Fargo Force,"[4, 7]"
USA U18,Tri-City Storm,"[4, 2]"
Cedar Rapids,Sioux City,"[1, 8]"
Fargo Force,Des Moines Buccaneers,"[1, 2]"
Green Bay Gamblers,Chicago Steel,"[5, 3]"
Lincoln Stars,USA U18,"[8, 2]"
Sioux Falls Stampede,Madison Capitols,"[3, 5]"
Muskegon Lumberjacks,Youngstown Phantoms,"[3, 4]"
USA U18,Tri-City Storm,"[7, 5]"
Chicago Steel,Green Bay Gamblers,"[6, 2]"
Fargo Force,Des Moines Buccaneers,"[1, 4]"
Lincoln Stars,USA U18,"[11, 2]"
Sioux Falls Stampede,Madison Capitols,"[10, 2]"
Muskegon Lumberjacks,Youngstown Phantoms,"[6, 2]"
USA U18,Green Bay Gamblers,"[6, 3]"
Cedar Rapids,Green Bay Gamblers,"[3, 6]"
Fargo Force,Sioux City,"[0, 3]"
Lincoln Stars,Muskegon Lumberjacks,"[6, 2]"
Madison Capitols,Chicago Steel,"[6, 3]"
Tri-City Storm,Des Moines Buccaneers,"[6, 4]"
Waterloo Black Hawks,Omaha Lancers,"[6, 2]"
Youngstown Phantoms,Dubuque Fighting Saints,"[0, 4]"
USA U18,Sioux Falls Stampede,"[3, 10]"
Omaha Lancers,Waterloo Black Hawks,"[3, 5]"
Tri-City Storm,Des Moines Buccaneers,"[5, 3]"
Lincoln Stars,Muskegon Lumberjacks,"[7, 3]"
Fargo Force,Sioux City,"[2, 6]"
Chicago Steel,Green Bay Gamblers,"[4, 7]"
Cedar Rapids,Madison Capitols,"[4, 0]"
USA U18,Sioux Falls Stampede,"[6, 2]"
Des Moines Buccaneers,Omaha Lancers,"[6, 1]"
Tri-City Storm,Fargo Force,"[1, 4]"
Green Bay Gamblers,Dubuque Fighting Saints,"[4, 2]"
Muskegon Lumberjacks,USA U18,"[7, 3]"
Des Moines Buccaneers,Lincoln Stars,"[2, 5]"
Fargo Force,Tri-City Storm,"[1, 2]"
Chicago Steel,Cedar Rapids,"[3, 5]"
Dubuque Fighting Saints,Sioux Falls Stampede,"[3, 2]"
Madison Capitols,Waterloo Black Hawks,"[4, 0]"
Sioux City,Omaha Lancers,"[7, 3]"
Youngstown Phantoms,USA U18,"[4, 2]"
USA U18,Muskegon Lumberjacks,"[1, 8]"
Green Bay Gamblers,Waterloo Black Hawks,"[3, 6]"
Lincoln Stars,Omaha Lancers,"[9, 3]"
Sioux City,Des Moines Buccaneers,"[4, 1]"
Cedar Rapids,Des Moines Buccaneers,"[2, 3]"
Sioux Falls Stampede,Waterloo Black Hawks,"[3, 8]"
USA U18,Youngstown Phantoms,"[2, 10]"
Waterloo Black Hawks,Des Moines Buccaneers,"[5, 1]"
Tri-City Storm,Chicago Steel,"[1, 3]"
Omaha Lancers,Madison Capitols,"[0, 7]"
Green Bay Gamblers,Muskegon Lumberjacks,"[5, 3]"
Dubuque Fighting Saints,Fargo Force,"[4, 3]"
Cedar Rapids,Lincoln Stars,"[5, 6]"
Des Moines Buccaneers,Waterloo Black Hawks,"[2, 4]"
Green Bay Gamblers,Muskegon Lumberjacks,"[1, 2]"
Omaha Lancers,Madison Capitols,"[1, 5]"
Sioux City,Sioux Falls Stampede,"[2, 5]"
Tri-City Storm,Chicago Steel,"[2, 5]"
Cedar Rapids,Fargo Force,"[4, 2]"
Dubuque Fighting Saints,Lincoln Stars,"[1, 6]"
Sioux City,Lincoln Stars,"[3, 4]"
Omaha Lancers,Fargo Force,"[2, 3]"
Dubuque Fighting Saints,Cedar Rapids,"[3, 1]"
Muskegon Lumberjacks,Tri-City Storm,"[5, 2]"
Des Moines Buccaneers,Youngstown Phantoms,"[2, 3]"
Fargo Force,Sioux Falls Stampede,"[2, 3]"
Lincoln Stars,Omaha Lancers,"[6, 1]"
Dubuque Fighting Saints,Waterloo Black Hawks,"[3, 2]"
Muskegon Lumberjacks,Tri-City Storm,"[6, 5]"
Des Moines Buccaneers,Sioux City,"[6, 4]"
Green Bay Gamblers,Chicago Steel,"[1, 2]"
Omaha Lancers,Lincoln Stars,"[2, 7]"
Sioux Falls Stampede,Fargo Force,"[6, 1]"
Waterloo Black Hawks,Youngstown Phantoms,"[5, 3]"
Madison Capitols,Dubuque Fighting Saints,"[4, 3]"
Waterloo Black Hawks,Green Bay Gamblers,"[1, 5]"
Tri-City Storm,Sioux City,"[1, 4]"
Waterloo Black Hawks,Des Moines Buccaneers,"[5, 2]"
Cedar Rapids,Dubuque Fighting Saints,"[3, 2]"
Lincoln Stars,Sioux Falls Stampede,"[8, 3]"
Green Bay Gamblers,Madison Capitols,"[5, 8]"
USA U18,Muskegon Lumberjacks,"[4, 5]"
Fargo Force,Omaha Lancers,"[3, 2]"
Sioux Falls Stampede,Lincoln Stars,"[7, 3]"
Cedar Rapids,Waterloo Black Hawks,"[3, 0]"
Madison Capitols,Green Bay Gamblers,"[8, 1]"
Madison Capitols,Des Moines Buccaneers,"[4, 1]"
Dubuque Fighting Saints,Cedar Rapids,"[4, 3]"
Omaha Lancers,Lincoln Stars,"[0, 5]"
USA U18,Dubuque Fighting Saints,"[4, 3]"
Youngstown Phantoms,Muskegon Lumberjacks,"[3, 1]"
Cedar Rapids,Des Moines Buccaneers,"[3, 0]"
Madison Capitols,USA U18,"[10, 4]"
Sioux Falls Stampede,Lincoln Stars,"[1, 2]"
Tri-City Storm,Omaha Lancers,"[4, 3]"
Waterloo Black Hawks,Chicago Steel,"[4, 1]"
Youngstown Phantoms,Muskegon Lumberjacks,"[5, 4]"
Waterloo Black Hawks,Cedar Rapids,"[5, 2]"
Sioux Falls Stampede,Tri-City Storm,"[5, 1]"
Sioux City,Des Moines Buccaneers,"[6, 1]"
Lincoln Stars,Omaha Lancers,"[4, 0]"
Chicago Steel,USA U18,"[5, 2]"
Madison Capitols,Fargo Force,"[5, 2]"
Chicago Steel,Green Bay Gamblers,"[3, 6]"
Madison Capitols,Fargo Force,"[4, 1]"
Sioux City,Tri-City Storm,"[1, 5]"
Sioux Falls Stampede,Des Moines Buccaneers,"[4, 2]"
Youngstown Phantoms,Green Bay Gamblers,"[3, 1]"
USA U18,Omaha Lancers,"[3, 2]"
Youngstown Phantoms,Green Bay Gamblers,"[3, 1]"
Muskegon Lumberjacks,Cedar Rapids,"[3, 1]"
