home,away,ft
Scranton/WB,Lehigh Valley IronPigs,"[3, 9]"
Charlotte Knights,Syracuse Mets,"[5, 1]"
Gwinnett Stripers,Memphis Redbirds,"[1, 4]"
Jacksonville Jumbo Shrimp,Norfolk Tides,"[1, 4]"
Indianapolis Indians,St. Paul,"[7, 2]"
Iowa Cubs,Louisville Bats,"[1, 4]"
Nashville Sounds,Omaha Storm Chasers,"[3, 2]"
Rochester Red Wings,Toledo Mud Hens,"[5, 9]"
Worcester,Durham Bulls,"[2, 12]"
Scranton/WB,Lehigh Valley IronPigs,"[5, 2]"
Columbus Clippers,Buffalo Bisons,"[3, 5]"
Iowa Cubs,Louisville Bats,"[4, 1]"
Worcester,Durham Bulls,"[3, 4]"
Gwinnett Stripers,Memphis Redbirds,"[2, 4]"
Charlotte Knights,Syracuse Mets,"[6, 11]"
Jacksonville Jumbo Shrimp,Norfolk Tides,"[5, 11]"
Indianapolis Indians,St. Paul,"[4, 12]"
Nashville Sounds,Omaha Storm Chasers,"[2, 8]"
Worcester,Durham Bulls,"[7, 1]"
Scranton/WB,Lehigh Valley IronPigs,"[4, 7]"
Rochester Red Wings,Toledo Mud Hens,"[7, 8]"
Columbus Clippers,Buffalo Bisons,"[4, 16]"
Indianapolis Indians,St. Paul,"[5, 0]"
Iowa Cubs,Louisville Bats,"[11, 3]"
Nashville Sounds,Omaha Storm Chasers,"[7, 3]"
Jacksonville Jumbo Shrimp,Norfolk Tides,"[8, 4]"
Durham Bulls,Scranton/WB,"[3, 2]"
Louisville Bats,Nashville Sounds,"[14, 9]"
Syracuse Mets,Columbus Clippers,"[6, 3]"
Norfolk Tides,Gwinnett Stripers,"[4, 9]"
Lehigh Valley IronPigs,Charlotte Knights,"[4, 5]"
Omaha Storm Chasers,Indianapolis Indians,"[7, 4]"
St. Paul,Rochester Red Wings,"[15, 9]"
Memphis Redbirds,Jacksonville Jumbo Shrimp,"[1, 10]"
Toledo Mud Hens,Worcester,"[5, 3]"
Louisville Bats,Nashville Sounds,"[2, 1]"
Omaha Storm Chasers,Indianapolis Indians,"[4, 7]"
Toledo Mud Hens,Worcester,"[3, 2]"
Memphis Redbirds,Jacksonville Jumbo Shrimp,"[2, 5]"
Buffalo Bisons,Iowa Cubs,"[2, 8]"
Norfolk Tides,Gwinnett Stripers,"[3, 4]"
Syracuse Mets,Columbus Clippers,"[4, 0]"
Durham Bulls,Scranton/WB,"[1, 6]"
Lehigh Valley IronPigs,Charlotte Knights,"[3, 5]"
St. Paul,Rochester Red Wings,"[5, 7]"
Norfolk Tides,Gwinnett Stripers,"[1, 2]"
Buffalo Bisons,Iowa Cubs,"[5, 3]"
Buffalo Bisons,Iowa Cubs,"[10, 3]"
Toledo Mud Hens,Worcester,"[5, 7]"
Syracuse Mets,Columbus Clippers,"[1, 9]"
Louisville Bats,Nashville Sounds,"[9, 5]"
Durham Bulls,Scranton/WB,"[2, 14]"
Lehigh Valley IronPigs,Charlotte Knights,"[7, 6]"
Memphis Redbirds,Jacksonville Jumbo Shrimp,"[5, 9]"
Omaha Storm Chasers,Indianapolis Indians,"[5, 4]"
St. Paul,Rochester Red Wings,"[3, 0]"
Memphis Redbirds,Jacksonville Jumbo Shrimp,"[4, 3]"
Buffalo Bisons,Iowa Cubs,"[3, 12]"
Norfolk Tides,Gwinnett Stripers,"[5, 1]"
Syracuse Mets,Columbus Clippers,"[5, 7]"
Durham Bulls,Scranton/WB,"[2, 6]"
Toledo Mud Hens,Worcester,"[4, 3]"
Lehigh Valley IronPigs,Charlotte Knights,"[4, 6]"
Louisville Bats,Nashville Sounds,"[8, 11]"
St. Paul,Rochester Red Wings,"[2, 3]"
Buffalo Bisons,Iowa Cubs,"[2, 0]"
Memphis Redbirds,Jacksonville Jumbo Shrimp,"[10, 1]"
St. Paul,Rochester Red Wings,"[7, 8]"
Toledo Mud Hens,Worcester,"[8, 7]"
Norfolk Tides,Gwinnett Stripers,"[5, 4]"
Lehigh Valley IronPigs,Charlotte Knights,"[8, 4]"
Durham Bulls,Scranton/WB,"[1, 8]"
Louisville Bats,Nashville Sounds,"[9, 3]"
Syracuse Mets,Columbus Clippers,"[5, 4]"
Norfolk Tides,Gwinnett Stripers,"[2, 0]"
Louisville Bats,Nashville Sounds,"[4, 7]"
Durham Bulls,Scranton/WB,"[6, 2]"
Buffalo Bisons,Iowa Cubs,"[2, 0]"
Lehigh Valley IronPigs,Charlotte Knights,"[3, 6]"
Syracuse Mets,Columbus Clippers,"[8, 6]"
Toledo Mud Hens,Worcester,"[5, 8]"
Memphis Redbirds,Jacksonville Jumbo Shrimp,"[3, 5]"
St. Paul,Louisville Bats,"[5, 7]"
Worcester,Lehigh Valley IronPigs,"[12, 5]"
Rochester Red Wings,Syracuse Mets,"[5, 13]"
Charlotte Knights,Memphis Redbirds,"[4, 3]"
Indianapolis Indians,Buffalo Bisons,"[4, 3]"
Columbus Clippers,Toledo Mud Hens,"[7, 6]"
Jacksonville Jumbo Shrimp,Scranton/WB,"[6, 7]"
Nashville Sounds,Norfolk Tides,"[5, 11]"
Indianapolis Indians,Buffalo Bisons,"[14, 5]"
Charlotte Knights,Memphis Redbirds,"[3, 7]"
Worcester,Lehigh Valley IronPigs,"[5, 2]"
Iowa Cubs,Omaha Storm Chasers,"[6, 5]"
Iowa Cubs,Omaha Storm Chasers,"[1, 5]"
Gwinnett Stripers,Durham Bulls,"[5, 0]"
Rochester Red Wings,Syracuse Mets,"[2, 1]"
Columbus Clippers,Toledo Mud Hens,"[14, 8]"
Jacksonville Jumbo Shrimp,Scranton/WB,"[0, 5]"
Gwinnett Stripers,Durham Bulls,"[2, 6]"
Nashville Sounds,Norfolk Tides,"[3, 7]"
St. Paul,Louisville Bats,"[8, 5]"
Rochester Red Wings,Syracuse Mets,"[6, 12]"
Iowa Cubs,Omaha Storm Chasers,"[6, 9]"
Worcester,Lehigh Valley IronPigs,"[1, 7]"
Columbus Clippers,Toledo Mud Hens,"[3, 7]"
Indianapolis Indians,Buffalo Bisons,"[6, 4]"
Charlotte Knights,Memphis Redbirds,"[1, 5]"
Jacksonville Jumbo Shrimp,Scranton/WB,"[0, 2]"
Gwinnett Stripers,Durham Bulls,"[5, 8]"
Nashville Sounds,Norfolk Tides,"[6, 10]"
St. Paul,Louisville Bats,"[4, 8]"
Jacksonville Jumbo Shrimp,Scranton/WB,"[2, 7]"
Worcester,Lehigh Valley IronPigs,"[4, 2]"
Rochester Red Wings,Syracuse Mets,"[10, 1]"
Charlotte Knights,Memphis Redbirds,"[0, 5]"
Indianapolis Indians,Buffalo Bisons,"[4, 10]"
Gwinnett Stripers,Durham Bulls,"[5, 4]"
Columbus Clippers,Toledo Mud Hens,"[4, 6]"
Nashville Sounds,Norfolk Tides,"[0, 2]"
St. Paul,Louisville Bats,"[4, 0]"
Iowa Cubs,Omaha Storm Chasers,"[4, 7]"
Jacksonville Jumbo Shrimp,Scranton/WB,"[9, 10]"
Rochester Red Wings,Syracuse Mets,"[2, 4]"
St. Paul,Louisville Bats,"[9, 6]"
Worcester,Lehigh Valley IronPigs,"[4, 0]"
Columbus Clippers,Toledo Mud Hens,"[1, 3]"
Iowa Cubs,Omaha Storm Chasers,"[3, 10]"
Gwinnett Stripers,Durham Bulls,"[5, 3]"
Charlotte Knights,Memphis Redbirds,"[2, 9]"
Indianapolis Indians,Buffalo Bisons,"[3, 9]"
Nashville Sounds,Norfolk Tides,"[5, 2]"
Worcester,Lehigh Valley IronPigs,"[11, 1]"
Rochester Red Wings,Syracuse Mets,"[6, 1]"
Gwinnett Stripers,Durham Bulls,"[2, 4]"
Columbus Clippers,Toledo Mud Hens,"[5, 3]"
Charlotte Knights,Memphis Redbirds,"[6, 7]"
Indianapolis Indians,Buffalo Bisons,"[8, 3]"
Iowa Cubs,Omaha Storm Chasers,"[2, 3]"
Nashville Sounds,Norfolk Tides,"[6, 3]"
Jacksonville Jumbo Shrimp,Scranton/WB,"[2, 5]"
St. Paul,Louisville Bats,"[6, 7]"
Lehigh Valley IronPigs,Syracuse Mets,"[3, 18]"
Gwinnett Stripers,Charlotte Knights,"[7, 4]"
Durham Bulls,Nashville Sounds,"[8, 9]"
Louisville Bats,Indianapolis Indians,"[6, 2]"
Scranton/WB,Rochester Red Wings,"[5, 8]"
Toledo Mud Hens,St. Paul,"[7, 5]"
Buffalo Bisons,Worcester,"[7, 5]"
Omaha Storm Chasers,Jacksonville Jumbo Shrimp,"[8, 6]"
Iowa Cubs,Columbus Clippers,"[5, 6]"
Memphis Redbirds,Norfolk Tides,"[4, 9]"
Louisville Bats,Indianapolis Indians,"[4, 3]"
Scranton/WB,Rochester Red Wings,"[5, 3]"
Toledo Mud Hens,St. Paul,"[6, 11]"
Omaha Storm Chasers,Jacksonville Jumbo Shrimp,"[5, 6]"
Iowa Cubs,Columbus Clippers,"[9, 8]"
Buffalo Bisons,Worcester,"[11, 2]"
Durham Bulls,Nashville Sounds,"[5, 3]"
Lehigh Valley IronPigs,Syracuse Mets,"[4, 5]"
Worcester,Buffalo Bisons,"[4, 0]"
Memphis Redbirds,Norfolk Tides,"[3, 12]"
Gwinnett Stripers,Charlotte Knights,"[1, 8]"
Memphis Redbirds,Norfolk Tides,"[3, 2]"
