home,away,ft
Hanwha Eagles,NC Dinos,"[1, 16]"
KIA Tigers,Doosan Bears,"[8, 4]"
LG Twins,Kiwoom Heroes,"[5, 6]"
SSG Landers,Samsung Lions,"[4, 12]"
KT Wiz Suwon,Lotte Giants,"[0, 2]"
KIA Tigers,Doosan Bears,"[7, 7]"
Hanwha Eagles,NC Dinos,"[3, 4]"
NC Dinos,KIA Tigers,"[4, 7]"
Samsung Lions,Hanwha Eagles,"[7, 5]"
Doosan Bears,Lotte Giants,"[1, 5]"
KT Wiz Suwon,LG Twins,"[5, 13]"
Kiwoom Heroes,SSG Landers,"[4, 5]"
NC Dinos,KIA Tigers,"[2, 7]"
Samsung Lions,Hanwha Eagles,"[9, 8]"
KT Wiz Suwon,LG Twins,"[6, 7]"
Kiwoom Heroes,SSG Landers,"[0, 3]"
Doosan Bears,Lotte Giants,"[8, 3]"
Doosan Bears,Lotte Giants,"[3, 3]"
Kiwoom Heroes,SSG Landers,"[10, 3]"
NC Dinos,KIA Tigers,"[1, 2]"
Samsung Lions,Hanwha Eagles,"[2, 12]"
KT Wiz Suwon,LG Twins,"[10, 4]"
Doosan Bears,SSG Landers,"[8, 6]"
Hanwha Eagles,LG Twins,"[8, 4]"
Kiwoom Heroes,NC Dinos,"[3, 5]"
Lotte Giants,KIA Tigers,"[6, 1]"
Samsung Lions,KT Wiz Suwon,"[5, 8]"
Lotte Giants,KIA Tigers,"[4, 2]"
Samsung Lions,KT Wiz Suwon,"[3, 1]"
Hanwha Eagles,LG Twins,"[7, 5]"
Kiwoom Heroes,NC Dinos,"[3, 4]"
Doosan Bears,SSG Landers,"[3, 1]"
Doosan Bears,SSG Landers,"[10, 3]"
Hanwha Eagles,LG Twins,"[4, 8]"
Kiwoom Heroes,NC Dinos,"[6, 4]"
Lotte Giants,KIA Tigers,"[10, 6]"
Samsung Lions,KT Wiz Suwon,"[2, 9]"
KIA Tigers,Doosan Bears,"[5, 7]"
KT Wiz Suwon,Kiwoom Heroes,"[5, 4]"
Lotte Giants,Samsung Lions,"[5, 11]"
SSG Landers,Hanwha Eagles,"[5, 7]"
LG Twins,NC Dinos,"[11, 4]"
KIA Tigers,Doosan Bears,"[6, 2]"
LG Twins,NC Dinos,"[10, 6]"
KT Wiz Suwon,Kiwoom Heroes,"[5, 2]"
Lotte Giants,Samsung Lions,"[7, 6]"
SSG Landers,Hanwha Eagles,"[2, 4]"
Lotte Giants,Samsung Lions,"[9, 1]"
LG Twins,NC Dinos,"[6, 3]"
KIA Tigers,Doosan Bears,"[5, 2]"
Doosan Bears,KT Wiz Suwon,"[3, 12]"
Hanwha Eagles,Lotte Giants,"[12, 3]"
NC Dinos,KIA Tigers,"[8, 11]"
