home,away,ft
Providence Bruins,Hartford Wolf Pack,"[4, 2]"
Chicago Wolves,Milwaukee Admirals,"[1, 2]"
Coachella Valley Firebirds,Ontario Reign,"[4, 2]"
San Jose Barracuda,Colorado Eagles,"[5, 3]"
Texas Stars,Manitoba Moose,"[5, 2]"
Tucson Roadrunners,San Diego Gulls,"[2, 4]"
Abbotsford Canucks,Bakersfield Condors,"[4, 2]"
Utica Comets,Cleveland Monsters,"[0, 4]"
Bridgeport Islanders,Hershey Bears,"[4, 5]"
Grand Rapids Griffins,Rockford IceHogs,"[5, 2]"
Belleville Senators,Syracuse Crunch,"[1, 4]"
Ontario Reign,Tucson Roadrunners,"[4, 1]"
San Jose Barracuda,San Diego Gulls,"[2, 1]"
Grand Rapids Griffins,Chicago Wolves,"[5, 1]"
Hershey Bears,Bridgeport Islanders,"[1, 6]"
Hartford Wolf Pack,Charlotte Checkers,"[4, 2]"
Springfield Thunderbirds,Lehigh Valley Phantoms,"[4, 3]"
Iowa Wild,Texas Stars,"[5, 3]"
Rockford IceHogs,Manitoba Moose,"[3, 2]"
Colorado Eagles,Ontario Reign,"[3, 5]"
Abbotsford Canucks,Coachella Valley Firebirds,"[1, 4]"
Henderson Silver Knights,Tucson Roadrunners,"[6, 2]"
Rochester Americans,Laval Rocket,"[1, 4]"
Hartford Wolf Pack,Providence Bruins,"[4, 2]"
Wilkes-Barre/Scranton,Bridgeport Islanders,"[2, 5]"
Milwaukee Admirals,Grand Rapids Griffins,"[2, 4]"
Utica Comets,Syracuse Crunch,"[0, 2]"
Iowa Wild,Texas Stars,"[4, 8]"
Abbotsford Canucks,Coachella Valley Firebirds,"[3, 4]"
Lehigh Valley Phantoms,Hershey Bears,"[3, 6]"
Springfield Thunderbirds,Charlotte Checkers,"[4, 2]"
Chicago Wolves,Manitoba Moose,"[3, 5]"
Henderson Silver Knights,Tucson Roadrunners,"[1, 2]"
San Jose Barracuda,Calgary Wranglers,"[2, 6]"
Colorado Eagles,Ontario Reign,"[6, 4]"
Chicago Wolves,Rockford IceHogs,"[4, 0]"
Bakersfield Condors,Abbotsford Canucks,"[2, 4]"
Rockford IceHogs,Texas Stars,"[5, 2]"
San Diego Gulls,Calgary Wranglers,"[3, 4]"
Henderson Silver Knights,Ontario Reign,"[2, 4]"
Manitoba Moose,Chicago Wolves,"[0, 5]"
Grand Rapids Griffins,Iowa Wild,"[2, 5]"
Laval Rocket,Belleville Senators,"[2, 4]"
Syracuse Crunch,Utica Comets,"[3, 4]"
Providence Bruins,Lehigh Valley Phantoms,"[3, 0]"
Wilkes-Barre/Scranton,Bridgeport Islanders,"[5, 0]"
Texas Stars,Rockford IceHogs,"[1, 2]"
Tucson Roadrunners,Calgary Wranglers,"[5, 3]"
Henderson Silver Knights,Abbotsford Canucks,"[1, 7]"
Manitoba Moose,Chicago Wolves,"[4, 2]"
Toronto Marlies,San Jose Barracuda,"[3, 0]"
Cleveland Monsters,Milwaukee Admirals,"[4, 1]"
Rochester Americans,Utica Comets,"[1, 5]"
Hartford Wolf Pack,Springfield Thunderbirds,"[2, 4]"
Belleville Senators,Laval Rocket,"[1, 3]"
Henderson Silver Knights,Abbotsford Canucks,"[0, 2]"
San Diego Gulls,Ontario Reign,"[1, 4]"
Tucson Roadrunners,Calgary Wranglers,"[6, 2]"
Grand Rapids Griffins,Iowa Wild,"[5, 2]"
Hartford Wolf Pack,Bridgeport Islanders,"[1, 4]"
Bakersfield Condors,Colorado Eagles,"[2, 4]"
Tucson Roadrunners,Coachella Valley Firebirds,"[2, 8]"
Bakersfield Condors,Abbotsford Canucks,"[1, 3]"
Utica Comets,Providence Bruins,"[5, 3]"
Syracuse Crunch,Belleville Senators,"[7, 1]"
