home,away,ft
Fayetteville Marksmen,Birmingham Bulls,"[3, 2]"
Quad City Storm,Peoria Rivermen,"[3, 2]"
Peoria Rivermen,Quad City Storm,"[5, 1]"
Fayetteville Marksmen,Macon Mayhem,"[3, 2]"
Huntsville Havoc,Macon Mayhem,"[5, 1]"
Macon Mayhem,Fayetteville Marksmen,"[5, 3]"
Birmingham Bulls,Huntsville Havoc,"[6, 2]"
Peoria Rivermen,Knoxville Ice Bears,"[7, 5]"
Macon Mayhem,Fayetteville Marksmen,"[3, 1]"
Roanoke Dawgs,Pensacola Ice Flyers,"[4, 0]"
Evansville Thunderbolts,Quad City Storm,"[6, 2]"
Peoria Rivermen,Knoxville Ice Bears,"[4, 0]"
Knoxville Ice Bears,Evansville Thunderbolts,"[2, 0]"
Birmingham Bulls,Roanoke Dawgs,"[5, 3]"
Quad City Storm,Peoria Rivermen,"[4, 0]"
Knoxville Ice Bears,Macon Mayhem,"[3, 1]"
Quad City Storm,Peoria Rivermen,"[5, 1]"
Evansville Thunderbolts,Huntsville Havoc,"[4, 3]"
Peoria Rivermen,Quad City Storm,"[4, 2]"
Birmingham Bulls,Huntsville Havoc,"[3, 2]"
Macon Mayhem,Roanoke Dawgs,"[2, 1]"
Knoxville Ice Bears,Peoria Rivermen,"[2, 4]"
Pensacola Ice Flyers,Quad City Storm,"[3, 2]"
Birmingham Bulls,Huntsville Havoc,"[2, 3]"
Fayetteville Marksmen,Evansville Thunderbolts,"[3, 2]"
Macon Mayhem,Roanoke Dawgs,"[1, 3]"
Knoxville Ice Bears,Peoria Rivermen,"[2, 1]"
Pensacola Ice Flyers,Quad City Storm,"[0, 3]"
Quad City Storm,Evansville Thunderbolts,"[5, 2]"
Macon Mayhem,Fayetteville Marksmen,"[2, 5]"
Roanoke Dawgs,Knoxville Ice Bears,"[1, 2]"
Huntsville Havoc,Peoria Rivermen,"[0, 3]"
Fayetteville Marksmen,Roanoke Dawgs,"[2, 0]"
Macon Mayhem,Knoxville Ice Bears,"[4, 5]"
Huntsville Havoc,Peoria Rivermen,"[3, 6]"
Pensacola Ice Flyers,Birmingham Bulls,"[2, 4]"
Fayetteville Marksmen,Roanoke Dawgs,"[4, 1]"
Huntsville Havoc,Birmingham Bulls,"[5, 7]"
Huntsville Havoc,Evansville Thunderbolts,"[5, 0]"
Quad City Storm,Knoxville Ice Bears,"[1, 3]"
Peoria Rivermen,Pensacola Ice Flyers,"[2, 0]"
Roanoke Dawgs,Macon Mayhem,"[5, 4]"
Huntsville Havoc,Evansville Thunderbolts,"[5, 2]"
Birmingham Bulls,Fayetteville Marksmen,"[4, 1]"
Quad City Storm,Knoxville Ice Bears,"[4, 1]"
Peoria Rivermen,Pensacola Ice Flyers,"[5, 0]"
Roanoke Dawgs,Fayetteville Marksmen,"[3, 5]"
Macon Mayhem,Huntsville Havoc,"[1, 5]"
Quad City Storm,Peoria Rivermen,"[1, 7]"
Macon Mayhem,Huntsville Havoc,"[0, 4]"
