home,away,ft
Lille,Le Havre,"[1, 2]"
Saint Etienne,Rennes,"[0, 2]"
Lyon,Reims,"[4, 0]"
Strasbourg,Montpellier,"[2, 0]"
Auxerre,Toulouse,"[2, 2]"
Angers,Marseille,"[0, 2]"
Stade Brestois 29,Auxerre,"[2, 2]"
Marseille,Saint Etienne,"[5, 1]"
Monaco,Nantes,"[7, 1]"
Toulouse,Paris Saint Germain,"[0, 1]"
Montpellier,Lyon,"[1, 4]"
Reims,Angers,"[0, 1]"
Le Havre,Nice,"[1, 3]"
Lens,Strasbourg,"[0, 2]"
Rennes,Lille,"[0, 2]"
Rennes,Reims,"[1, 0]"
Lille,Monaco,"[2, 1]"
Saint Etienne,Angers,"[3, 3]"
Auxerre,Marseille,"[3, 0]"
Nantes,Lens,"[3, 1]"
Nice,Montpellier,"[2, 0]"
Strasbourg,Stade Brestois 29,"[0, 0]"
Le Havre,Toulouse,"[1, 4]"
Lyon,Paris Saint Germain,"[2, 3]"
Monaco,Reims,"[3, 0]"
Saint Etienne,Nice,"[1, 3]"
Lens,Le Havre,"[3, 4]"
Paris Saint Germain,Lille,"[4, 1]"
Lyon,Stade Brestois 29,"[2, 1]"
Angers,Toulouse,"[0, 4]"
Montpellier,Rennes,"[0, 4]"
Auxerre,Strasbourg,"[0, 1]"
Marseille,Nantes,"[2, 0]"
Toulouse,Monaco,"[1, 1]"
Rennes,Paris Saint Germain,"[1, 4]"
Lille,Montpellier,"[1, 0]"
Marseille,Lens,"[0, 1]"
Stade Brestois 29,Angers,"[2, 0]"
Nantes,Strasbourg,"[0, 1]"
Reims,Auxerre,"[0, 2]"
Le Havre,Saint Etienne,"[1, 1]"
Nice,Lyon,"[0, 2]"
Nice,Auxerre,"[1, 1]"
Nantes,Lille,"[1, 0]"
Angers,Monaco,"[0, 2]"
Lens,Rennes,"[1, 0]"
Lyon,Le Havre,"[4, 2]"
Montpellier,Saint Etienne,"[0, 2]"
Strasbourg,Toulouse,"[2, 1]"
Stade Brestois 29,Reims,"[0, 0]"
Paris Saint Germain,Marseille,"[3, 1]"
Strasbourg,Lyon,"[4, 2]"
Reims,Marseille,"[3, 1]"
Saint Etienne,Paris Saint Germain,"[1, 6]"
Monaco,Nice,"[2, 1]"
Toulouse,Stade Brestois 29,"[2, 4]"
Angers,Rennes,"[0, 3]"
Auxerre,Montpellier,"[1, 0]"
Le Havre,Nantes,"[3, 2]"
Lille,Lens,"[1, 0]"
Nice,Nantes,"[1, 2]"
Paris Saint Germain,Angers,"[1, 0]"
Stade Brestois 29,Monaco,"[2, 1]"
Lyon,Lille,"[2, 1]"
Lens,Saint Etienne,"[1, 0]"
Montpellier,Le Havre,"[0, 2]"
Reims,Strasbourg,"[0, 1]"
Rennes,Auxerre,"[0, 1]"
Marseille,Toulouse,"[3, 2]"
Lens,Reims,"[0, 2]"
Monaco,Marseille,"[3, 0]"
Toulouse,Lille,"[1, 2]"
Strasbourg,Nice,"[2, 2]"
Saint Etienne,Stade Brestois 29,"[3, 3]"
Angers,Montpellier,"[2, 0]"
Le Havre,Rennes,"[1, 5]"
Auxerre,Lyon,"[1, 3]"
Rennes,Nantes,"[2, 1]"
